formtype	companyname	cik	filingdate	url
10-K	20TH CENTURY	100331	1995-03-31	https://www.sec.gov/Archives/edgar/data/100331/0000100331-95-000014.txt
10-K	A L LABORATORIES	730469	1995-03-30	https://www.sec.gov/Archives/edgar/data/730469/0000730469-95-000002.txt
10-K	ABBOTT	1800	1995-03-10	https://www.sec.gov/Archives/edgar/data/1800/0000912057-95-001314.txt
10-K	ABM INDUSTRIES	771497	1995-01-27	https://www.sec.gov/Archives/edgar/data/771497/0000912057-95-000209.txt
10-K	ACC	783233	1995-03-31	https://www.sec.gov/Archives/edgar/data/783233/0000927550-95-000015.txt
10-K	ACCEPTANCE INSURANCE COMPANIES	74783	1995-03-30	https://www.sec.gov/Archives/edgar/data/74783/0000950124-95-000983.txt
10-K	ACE HARDWARE	2024	1995-03-23	https://www.sec.gov/Archives/edgar/data/2024/0000002024-95-000007.txt
10-K	ACME METALS INC	883702	1995-03-24	https://www.sec.gov/Archives/edgar/data/883702/0000912057-95-001704.txt
10-K	ACNB	715579	1995-03-29	https://www.sec.gov/Archives/edgar/data/715579/0000950109-95-000966.txt
10-K	ACTAVA GROUP	39547	1995-03-30	https://www.sec.gov/Archives/edgar/data/39547/0000950144-95-000874.txt
10-K	ACUSON	717014	1995-03-30	https://www.sec.gov/Archives/edgar/data/717014/0000898430-95-000402.txt
10-K	ADOBE SYSTEMS	796343	1995-02-17	https://www.sec.gov/Archives/edgar/data/796343/0000912057-95-000843.txt
10-K	ADVANCE ROSS	2457	1995-03-31	https://www.sec.gov/Archives/edgar/data/2457/0000950124-95-000996.txt
10-K	ADVANCED MICRO DEVICES	2488	1995-03-07	https://www.sec.gov/Archives/edgar/data/2488/0000950131-95-000530.txt
10-K	ADVANCED TECHNOLOGY LABORATORIES	806086	1995-03-31	https://www.sec.gov/Archives/edgar/data/806086/0000899243-95-000135.txt
10-K	ADVANTA	96638	1995-03-20	https://www.sec.gov/Archives/edgar/data/96638/0000893220-95-000148.txt
10-K	AETNA LIFE & CASUALTY	2648	1995-03-17	https://www.sec.gov/Archives/edgar/data/2648/0000002648-95-000024.txt
10-K	AHMANSON H F & CO	771667	1995-03-30	https://www.sec.gov/Archives/edgar/data/771667/0000950150-95-000219.txt
10-K	AIR & WATER TECHNOLOGIES	823556	1995-01-30	https://www.sec.gov/Archives/edgar/data/823556/0000950103-95-000049.txt
10-K	AIR EXPRESS INTERNATIONAL CORP	700674	1995-03-31	https://www.sec.gov/Archives/edgar/data/700674/0000700674-95-000001.txt
10-K	AIRBORNE FREIGHT CORP	3000	1995-03-29	https://www.sec.gov/Archives/edgar/data/3000/0000003000-95-000003.txt
10-K	AIRTOUCH	904255	1995-03-22	https://www.sec.gov/Archives/edgar/data/904255/0000950149-95-000124.txt
10-K	ALABAMA POWER	3153	1995-03-27	https://www.sec.gov/Archives/edgar/data/3153/0000092122-95-000038.txt
10-K	ALASKA AIR GROUP	766421	1995-02-16	https://www.sec.gov/Archives/edgar/data/766421/0000766421-95-000002.txt
10-K	ALC COMMUNICATIONS	783425	1995-03-24	https://www.sec.gov/Archives/edgar/data/783425/0000950124-95-000841.txt
10-K	ALEXANDER & ALEXANDER SERVICES	3449	1995-03-31	https://www.sec.gov/Archives/edgar/data/3449/0000950112-95-000854.txt
10-K	ALEXANDER & BALDWIN	3453	1995-03-27	https://www.sec.gov/Archives/edgar/data/3453/0000003453-95-000010.txt
10-K	ALEXANDER ENERGY	355143	1995-03-31	https://www.sec.gov/Archives/edgar/data/355143/0000950134-95-000622.txt
10-K	ALLEGHANY CORP	775368	1995-03-17	https://www.sec.gov/Archives/edgar/data/775368/0000950123-95-000585.txt
10-K	ALLEGHENY LUDLUM CORP ET	811929	1995-03-14	https://www.sec.gov/Archives/edgar/data/811929/0000950132-95-000065.txt
10-K	ALLEGIANCE BANC	807522	1995-03-31	https://www.sec.gov/Archives/edgar/data/807522/0000807522-95-000003.txt
10-K	ALLEN ORGAN	3753	1995-03-10	https://www.sec.gov/Archives/edgar/data/3753/0000003753-95-000008.txt
10-K	ALLERGAN	850693	1995-03-23	https://www.sec.gov/Archives/edgar/data/850693/0000892569-95-000068.txt
10-K	ALLIANCE CAPITAL MANAGEMENT	825313	1995-03-30	https://www.sec.gov/Archives/edgar/data/825313/0000912057-95-001962.txt
10-K	ALLIEDSIGNAL	773840	1995-03-02	https://www.sec.gov/Archives/edgar/data/773840/0000950117-95-000038.txt
10-K	ALLTEL	65873	1995-02-21	https://www.sec.gov/Archives/edgar/data/65873/0000065873-95-000002.txt
10-K	ALPNET	712425	1995-03-29	https://www.sec.gov/Archives/edgar/data/712425/0000712425-95-000004.txt
10-K	ALTRON	741339	1995-03-29	https://www.sec.gov/Archives/edgar/data/741339/0000950109-95-000950.txt
10-K	ALUMINUM CO OF	4281	1995-03-22	https://www.sec.gov/Archives/edgar/data/4281/0000004281-95-000002.txt
10-K	AMAX GOLD	814577	1995-03-31	https://www.sec.gov/Archives/edgar/data/814577/0000950109-95-001047.txt
10-K	AMDAHL	4427	1995-03-27	https://www.sec.gov/Archives/edgar/data/4427/0000004427-95-000034.txt
10-K	AMERICA FIRST TAX EXEMPT MORTGAGE FUND LTD	776734	1995-03-30	https://www.sec.gov/Archives/edgar/data/776734/0000776734-95-000003.txt
10-K	AMERICA WEST AIRLINES	706270	1995-03-29	https://www.sec.gov/Archives/edgar/data/706270/0000950153-95-000077.txt
10-K	AMERICAN BRANDS INC	789073	1995-03-29	https://www.sec.gov/Archives/edgar/data/789073/0000893838-95-000012.txt
10-K	AMERICAN CITY BUSINESS JOURNALS	769339	1995-03-29	https://www.sec.gov/Archives/edgar/data/769339/0000950138-95-000078.txt
10-K	AMERICAN COLLOID	813621	1995-03-24	https://www.sec.gov/Archives/edgar/data/813621/0000912057-95-001659.txt
10-K	AMERICAN EXPLORATION	715428	1995-03-31	https://www.sec.gov/Archives/edgar/data/715428/0000890566-95-000168.txt
10-K	AMERICAN EXPRESS	4962	1995-03-31	https://www.sec.gov/Archives/edgar/data/4962/0000004962-95-000005.txt
10-K	AMERICAN FREIGHTWAYS	846729	1995-02-21	https://www.sec.gov/Archives/edgar/data/846729/0000950109-95-000416.txt
10-K	AMERICAN GENERAL CORP	5103	1995-03-17	https://www.sec.gov/Archives/edgar/data/5103/0000950129-95-000226.txt
10-K	AMERICAN GENERAL FINANCE	25598	1995-03-15	https://www.sec.gov/Archives/edgar/data/25598/0000025598-95-000002.txt
10-K	AMERICAN GENERAL FINANCE	25600	1995-03-15	https://www.sec.gov/Archives/edgar/data/25600/0000025600-95-000002.txt
