formtype	companyname	cik	filingdate	url
10-K	1ST CONSTITUTION	1141807	2012-03-23	https://www.sec.gov/Archives/edgar/data/1141807/0001214659-12-001265.txt
10-K	1ST SOURCE	34782	2012-02-17	https://www.sec.gov/Archives/edgar/data/34782/0001104659-12-010878.txt
10-K	1st Century Bancshares,	1420525	2012-03-06	https://www.sec.gov/Archives/edgar/data/1420525/0001420525-12-000021.txt
10-K	1st FRANKLIN FINANCIAL	38723	2012-03-30	https://www.sec.gov/Archives/edgar/data/38723/0001376474-12-000078.txt
10-K	1st Financial Services	1434743	2012-03-29	https://www.sec.gov/Archives/edgar/data/1434743/0001354488-12-001490.txt
10-K	1st United Bancorp,	1415277	2012-02-08	https://www.sec.gov/Archives/edgar/data/1415277/0001171200-12-000126.txt
10-K	21ST CENTURY HOLDING	1069996	2012-03-30	https://www.sec.gov/Archives/edgar/data/1069996/0001140361-12-018226.txt
10-K	24HOLDINGS	1025315	2012-02-24	https://www.sec.gov/Archives/edgar/data/1025315/0001144204-12-010894.txt
10-K	3D SYSTEMS	910638	2012-02-23	https://www.sec.gov/Archives/edgar/data/910638/0001193125-12-074109.txt
10-K	3M	66740	2012-02-16	https://www.sec.gov/Archives/edgar/data/66740/0001104659-12-010566.txt
10-K	4 KIDS ENTERTAINMENT	58592	2012-03-23	https://www.sec.gov/Archives/edgar/data/58592/0000058592-12-000007.txt
10-K	5V	1504876	2012-01-13	https://www.sec.gov/Archives/edgar/data/1504876/0001213900-12-000164.txt
10-K	A. H. Belo	1413898	2012-03-12	https://www.sec.gov/Archives/edgar/data/1413898/0001193125-12-107434.txt
10-K	A123 SYSTEMS,	1167178	2012-03-12	https://www.sec.gov/Archives/edgar/data/1167178/0001047469-12-002475.txt
10-K	A5 Laboratories	1381054	2012-02-17	https://www.sec.gov/Archives/edgar/data/1381054/0001511164-12-000034.txt
10-K	AAA CAPITAL ENERGY FUND	1057051	2012-03-30	https://www.sec.gov/Archives/edgar/data/1057051/0001193125-12-142679.txt
10-K	AAA CAPITAL ENERGY FUND L.P.	1227268	2012-03-30	https://www.sec.gov/Archives/edgar/data/1227268/0001193125-12-142775.txt
10-K	AAON	824142	2012-03-14	https://www.sec.gov/Archives/edgar/data/824142/0001026608-12-000022.txt
10-K	AARON'S	706688	2012-02-29	https://www.sec.gov/Archives/edgar/data/706688/0001193125-12-088733.txt
10-K	AASTROM BIOSCIENCES	887359	2012-03-15	https://www.sec.gov/Archives/edgar/data/887359/0001104659-12-018573.txt
10-K	ABBOTT	1800	2012-02-21	https://www.sec.gov/Archives/edgar/data/1800/0001047469-12-001216.txt
10-K	ABBY	1478535	2012-03-06	https://www.sec.gov/Archives/edgar/data/1478535/0001096350-12-000020.txt
10-K	ABERCROMBIE & FITCH CO	1018840	2012-03-27	https://www.sec.gov/Archives/edgar/data/1018840/0001193125-12-134456.txt
10-K	ABOVENET	1043533	2012-02-29	https://www.sec.gov/Archives/edgar/data/1043533/0001144204-12-011778.txt
10-K	ABRAXAS PETROLEUM	867665	2012-03-15	https://www.sec.gov/Archives/edgar/data/867665/0000867665-12-000010.txt
10-K	ABSOLUTE POTENTIAL,	1002360	2012-01-06	https://www.sec.gov/Archives/edgar/data/1002360/0001000096-12-000007.txt
10-K	ABSOLUTE POTENTIAL,	1002360	2012-01-06	https://www.sec.gov/Archives/edgar/data/1002360/0001000096-12-000015.txt
10-K	ACACIA RESEARCH	934549	2012-02-29	https://www.sec.gov/Archives/edgar/data/934549/0000934549-12-000005.txt
10-K	ACADIA PHARMACEUTICALS	1070494	2012-03-06	https://www.sec.gov/Archives/edgar/data/1070494/0001193125-12-098990.txt
10-K	ACADIA REALTY	899629	2012-02-28	https://www.sec.gov/Archives/edgar/data/899629/0001445305-12-000495.txt
10-K	ACCELERIZE NEW MEDIA	1352952	2012-03-29	https://www.sec.gov/Archives/edgar/data/1352952/0001437749-12-003000.txt
10-K	ACCELLENT	1342505	2012-03-29	https://www.sec.gov/Archives/edgar/data/1342505/0001193125-12-140036.txt
10-K	ACCELRYS,	1002388	2012-03-13	https://www.sec.gov/Archives/edgar/data/1002388/0001193125-12-111987.txt
10-K	ACCESS NATIONAL	1176316	2012-03-23	https://www.sec.gov/Archives/edgar/data/1176316/0001144204-12-016767.txt
10-K	ACCESS PHARMACEUTICALS	318306	2012-03-23	https://www.sec.gov/Archives/edgar/data/318306/0000318306-12-000020.txt
10-K	ACCO BRANDS	712034	2012-02-23	https://www.sec.gov/Archives/edgar/data/712034/0001193125-12-075522.txt
10-K	ACCREDITED BUSINESS CONSOLIDATORS	933425	2012-03-08	https://www.sec.gov/Archives/edgar/data/933425/0001471242-12-000290.txt
10-K	ACCURIDE	817979	2012-03-15	https://www.sec.gov/Archives/edgar/data/817979/0000817979-12-000025.txt
10-K	ACE Consulting Management,	1265848	2012-03-30	https://www.sec.gov/Archives/edgar/data/1265848/0001213900-12-001534.txt
10-K	ACE	896159	2012-02-24	https://www.sec.gov/Archives/edgar/data/896159/0001193125-12-078111.txt
10-K	ACE MARKETING & PROMOTIONS	1084267	2012-03-05	https://www.sec.gov/Archives/edgar/data/1084267/0001019687-12-000783.txt
10-K	ACELRX PHARMACEUTICALS	1427925	2012-03-23	https://www.sec.gov/Archives/edgar/data/1427925/0001193125-12-129997.txt
10-K	ACHILLION PHARMACEUTICALS	1070336	2012-03-08	https://www.sec.gov/Archives/edgar/data/1070336/0001193125-12-102258.txt
10-K	ACI WORLDWIDE,	935036	2012-02-22	https://www.sec.gov/Archives/edgar/data/935036/0001193125-12-072292.txt
10-K	ACME PACKET	1130258	2012-02-17	https://www.sec.gov/Archives/edgar/data/1130258/0001193125-12-067567.txt
10-K	ACME UNITED	2098	2012-03-07	https://www.sec.gov/Archives/edgar/data/2098/0001026608-12-000017.txt
10-K	ACNB	715579	2012-03-12	https://www.sec.gov/Archives/edgar/data/715579/0001047469-12-002448.txt
10-K	ACORDA THERAPEUTICS	1008848	2012-02-28	https://www.sec.gov/Archives/edgar/data/1008848/0001008848-12-000015.txt
10-K	ACORN ENERGY,	880984	2012-03-15	https://www.sec.gov/Archives/edgar/data/880984/0000880984-12-000005.txt
10-K	ACQUIRED SALES	1391135	2012-03-30	https://www.sec.gov/Archives/edgar/data/1391135/0001445866-12-000160.txt
10-K	ACRONGENOMICS	1104502	2012-03-12	https://www.sec.gov/Archives/edgar/data/1104502/0001062993-12-000825.txt
10-K	ACTIVE NETWORK	1163932	2012-03-16	https://www.sec.gov/Archives/edgar/data/1163932/0001193125-12-119675.txt
10-K	ACTIVE POWER	1044435	2012-03-01	https://www.sec.gov/Archives/edgar/data/1044435/0001140361-12-012224.txt
10-K	ACTUATE	1062478	2012-03-09	https://www.sec.gov/Archives/edgar/data/1062478/0001193125-12-106687.txt
10-K	ACURA PHARMACEUTICALS,	786947	2012-03-05	https://www.sec.gov/Archives/edgar/data/786947/0001144204-12-012928.txt
10-K	ADA-ES	1223112	2012-03-15	https://www.sec.gov/Archives/edgar/data/1223112/0001193125-12-117456.txt
10-K	ADAMS GOLF	1059763	2012-03-06	https://www.sec.gov/Archives/edgar/data/1059763/0001171843-12-000810.txt
10-K	ADAMS RESOURCES & ENERGY,	2178	2012-03-23	https://www.sec.gov/Archives/edgar/data/2178/0000002178-12-000010.txt
10-K	ADCARE HEALTH SYSTEMS	1004724	2012-03-19	https://www.sec.gov/Archives/edgar/data/1004724/0001047469-12-002859.txt
10-K	ADHEREX TECHNOLOGIES	1211583	2012-03-27	https://www.sec.gov/Archives/edgar/data/1211583/0001144204-12-017470.txt
10-K	ADOBE SYSTEMS	796343	2012-01-26	https://www.sec.gov/Archives/edgar/data/796343/0000796343-12-000003.txt
10-K	ADTRAN	926282	2012-02-29	https://www.sec.gov/Archives/edgar/data/926282/0001193125-12-089158.txt
10-K	ADVANCE AUTO PARTS	1158449	2012-02-28	https://www.sec.gov/Archives/edgar/data/1158449/0001158449-12-000029.txt
10-K	ADVANCED CELL TECHNOLOGY,	1140098	2012-03-01	https://www.sec.gov/Archives/edgar/data/1140098/0001144204-12-012373.txt
10-K	ADVANCED CREDIT TECHNOLOGIES	1437517	2012-03-30	https://www.sec.gov/Archives/edgar/data/1437517/0001010549-12-000341.txt
10-K	ADVANCED ENERGY INDUSTRIES	927003	2012-03-02	https://www.sec.gov/Archives/edgar/data/927003/0001445305-12-000575.txt
10-K	ADVANCED ENVIRONMENTAL RECYCLING TECHNOLOGIES	849706	2012-03-30	https://www.sec.gov/Archives/edgar/data/849706/0001171843-12-001103.txt
10-K	ADVANCED MEDICAL ISOTOPE	1449349	2012-03-23	https://www.sec.gov/Archives/edgar/data/1449349/0001199835-12-000130.txt
10-K	ADVANCED MICRO DEVICES	2488	2012-02-24	https://www.sec.gov/Archives/edgar/data/2488/0001193125-12-075837.txt
10-K	ADVANCED VENTURES	1500122	2012-03-27	https://www.sec.gov/Archives/edgar/data/1500122/0001144204-12-017437.txt
10-K	ADVANT E	925043	2012-03-27	https://www.sec.gov/Archives/edgar/data/925043/0001193125-12-133699.txt
10-K	ADVENT SOFTWARE INC	1002225	2012-02-29	https://www.sec.gov/Archives/edgar/data/1002225/0001047469-12-001907.txt
10-K	ADVENTRX PHARMACEUTICALS	1160308	2012-03-08	https://www.sec.gov/Archives/edgar/data/1160308/0001193125-12-103745.txt
10-K	ADVOCAT	919956	2012-03-07	https://www.sec.gov/Archives/edgar/data/919956/0001193125-12-101369.txt
10-K	AEI INCOME & GROWTH FUND 24	1130758	2012-03-30	https://www.sec.gov/Archives/edgar/data/1130758/0001023458-12-000016.txt
10-K	AEI INCOME & GROWTH FUND 25	1185198	2012-03-30	https://www.sec.gov/Archives/edgar/data/1185198/0001023458-12-000018.txt
10-K	AEI INCOME & GROWTH FUND XXI LTD	931755	2012-03-30	https://www.sec.gov/Archives/edgar/data/931755/0001023458-12-000015.txt
10-K	AEI INCOME & GROWTH FUND XXII LTD	1023458	2012-03-30	https://www.sec.gov/Archives/edgar/data/1023458/0001023458-12-000021.txt
10-K	AEI Income & Growth Fund 26	1326321	2012-03-30	https://www.sec.gov/Archives/edgar/data/1326321/0001023458-12-000023.txt
10-K	AEI NET LEASE INCOME & GROWTH FUND XIX LIMITED	868740	2012-03-30	https://www.sec.gov/Archives/edgar/data/868740/0001023458-12-000014.txt
10-K	AEI NET LEASE INCOME & GROWTH FUND XX LIMITED	894245	2012-03-30	https://www.sec.gov/Archives/edgar/data/894245/0001023458-12-000025.txt
10-K	AEP INDUSTRIES	785787	2012-01-17	https://www.sec.gov/Archives/edgar/data/785787/0001193125-12-013914.txt
10-K	AEP Texas Central Transition Funding II	1366928	2012-03-30	https://www.sec.gov/Archives/edgar/data/1366928/0000006879-12-000016.txt
10-K	AEROCENTURY	1036848	2012-03-09	https://www.sec.gov/Archives/edgar/data/1036848/0001036848-12-000006.txt
10-K	AEROPOSTALE	1168213	2012-03-28	https://www.sec.gov/Archives/edgar/data/1168213/0001168213-12-000015.txt
10-K	AES	874761	2012-02-27	https://www.sec.gov/Archives/edgar/data/874761/0001193125-12-078654.txt
10-K	AETNA INC	1122304	2012-02-24	https://www.sec.gov/Archives/edgar/data/1122304/0001122304-12-000045.txt
