formtype	companyname	cik	filingdate	url
10-K	1 800 CONTACTS	1050122	2000-03-31	https://www.sec.gov/Archives/edgar/data/1050122/0000927356-00-000660.txt
10-K	1ST ATLANTIC GUARANTY	1050123	2000-02-14	https://www.sec.gov/Archives/edgar/data/1050123/0001104659-00-000012.txt
10-K	1ST ATLANTIC GUARANTY	1050123	2000-02-28	https://www.sec.gov/Archives/edgar/data/1050123/0001104659-00-000033.txt
10-K	1ST SOURCE	34782	2000-03-16	https://www.sec.gov/Archives/edgar/data/34782/0000034782-00-000024.txt
10-K	21ST CENTURY INSURANCE	100331	2000-03-30	https://www.sec.gov/Archives/edgar/data/100331/0000100331-00-000003.txt
10-K	21ST CENTURY TELECOM GROUP	1056751	2000-03-16	https://www.sec.gov/Archives/edgar/data/1056751/0000912057-00-012059.txt
10-K	24/7 MEDIA	1062195	2000-03-24	https://www.sec.gov/Archives/edgar/data/1062195/0000912057-00-013480.txt
10-K	3 D SYSTEMS	910638	2000-03-30	https://www.sec.gov/Archives/edgar/data/910638/0000912057-00-015304.txt
10-K	4 KIDS ENTERTAINMENT	58592	2000-03-31	https://www.sec.gov/Archives/edgar/data/58592/0000891092-00-000282.txt
10-K	7 ELEVEN	92344	2000-03-17	https://www.sec.gov/Archives/edgar/data/92344/0000092344-00-000003.txt
10-K	800 JR CIGAR	1035507	2000-03-29	https://www.sec.gov/Archives/edgar/data/1035507/0001035507-00-000001.txt
10-K	99 CENTS ONLY	1011290	2000-03-29	https://www.sec.gov/Archives/edgar/data/1011290/0001011290-00-000002.txt
10-K	A C MOORE ARTS & CRAFTS	1042809	2000-03-20	https://www.sec.gov/Archives/edgar/data/1042809/0000950116-00-000564.txt
10-K	A CONSULTING TEAM	1040792	2000-03-29	https://www.sec.gov/Archives/edgar/data/1040792/0000889812-00-001402.txt
10-K	AAON	824142	2000-03-29	https://www.sec.gov/Archives/edgar/data/824142/0001026608-00-000008.txt
10-K	ABATIX	845779	2000-03-30	https://www.sec.gov/Archives/edgar/data/845779/0000845779-00-000004.txt
10-K	ABC NACO	913364	2000-03-14	https://www.sec.gov/Archives/edgar/data/913364/0000913364-00-000009.txt
10-K	ABLE TELCOM HOLDING	826411	2000-02-22	https://www.sec.gov/Archives/edgar/data/826411/0000950170-00-000259.txt
10-K	ABN AMRO MORTGAGE	943489	2000-03-23	https://www.sec.gov/Archives/edgar/data/943489/0001013255-00-000084.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083053	2000-03-23	https://www.sec.gov/Archives/edgar/data/1083053/0001013255-00-000085.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083054	2000-03-23	https://www.sec.gov/Archives/edgar/data/1083054/0001013255-00-000086.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083055	2000-03-23	https://www.sec.gov/Archives/edgar/data/1083055/0001013255-00-000087.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083056	2000-03-23	https://www.sec.gov/Archives/edgar/data/1083056/0001013255-00-000088.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083057	2000-03-23	https://www.sec.gov/Archives/edgar/data/1083057/0001013255-00-000089.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083058	2000-03-23	https://www.sec.gov/Archives/edgar/data/1083058/0001013255-00-000090.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083059	2000-03-23	https://www.sec.gov/Archives/edgar/data/1083059/0001013255-00-000091.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1089050	2000-03-23	https://www.sec.gov/Archives/edgar/data/1089050/0001013255-00-000092.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1091361	2000-03-23	https://www.sec.gov/Archives/edgar/data/1091361/0001013255-00-000093.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1094745	2000-03-23	https://www.sec.gov/Archives/edgar/data/1094745/0001013255-00-000094.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1097281	2000-03-23	https://www.sec.gov/Archives/edgar/data/1097281/0001013255-00-000095.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1099347	2000-03-23	https://www.sec.gov/Archives/edgar/data/1099347/0001013255-00-000096.txt
10-K	ACACIA RESEARCH	934549	2000-03-21	https://www.sec.gov/Archives/edgar/data/934549/0000912057-00-012691.txt
10-K	ACADIA REALTY	899629	2000-03-30	https://www.sec.gov/Archives/edgar/data/899629/0000950116-00-000679.txt
10-K	ACADIANA BANCSHARES INC	1011024	2000-03-29	https://www.sec.gov/Archives/edgar/data/1011024/0001104659-00-000082.txt
10-K	ACCEPTANCE INSURANCE COMPANIES	74783	2000-03-20	https://www.sec.gov/Archives/edgar/data/74783/0000074783-00-000033.txt
10-K	ACCESS PHARMACEUTICALS	318306	2000-03-30	https://www.sec.gov/Archives/edgar/data/318306/0000318306-00-000003.txt
10-K	ACCOM	949335	2000-03-30	https://www.sec.gov/Archives/edgar/data/949335/0000950005-00-000493.txt
10-K	ACE	896159	2000-03-29	https://www.sec.gov/Archives/edgar/data/896159/0000950131-00-002158.txt
10-K	ACE SECURITIES CORP HOME EQUITY LOAN TRUST	1089752	2000-03-28	https://www.sec.gov/Archives/edgar/data/1089752/0001020242-00-000041.txt
10-K	ACE SECURITIES CORP HOME EQUITY LOAN TRUST	1092018	2000-03-30	https://www.sec.gov/Archives/edgar/data/1092018/0001020242-00-000043.txt
10-K	ACE SECURITIES CORP HOME LOAN TRUST	1097671	2000-03-29	https://www.sec.gov/Archives/edgar/data/1097671/0001020242-00-000042.txt
10-K	ACE SECURITIES CORP MORT LENDERS NETWORK EQUITY LN TR	1098217	2000-03-24	https://www.sec.gov/Archives/edgar/data/1098217/0001056404-00-000226.txt
10-K	ACKERLEY GROUP	319120	2000-03-30	https://www.sec.gov/Archives/edgar/data/319120/0000891020-00-000661.txt
10-K	ACMAT	2062	2000-03-30	https://www.sec.gov/Archives/edgar/data/2062/0000914039-00-000163.txt
10-K	ACME INTERMEDIATE HOLDINGS	1049530	2000-03-30	https://www.sec.gov/Archives/edgar/data/1049530/0000892569-00-000325.txt
10-K	ACME METALS INC	883702	2000-03-27	https://www.sec.gov/Archives/edgar/data/883702/0000950137-00-001242.txt
10-K	ACME TELEVISION	1049510	2000-03-30	https://www.sec.gov/Archives/edgar/data/1049510/0000892569-00-000325.txt
10-K	ACME UNITED	2098	2000-03-30	https://www.sec.gov/Archives/edgar/data/2098/0001026608-00-000011.txt
10-K	ACNIELSEN	1019878	2000-03-27	https://www.sec.gov/Archives/edgar/data/1019878/0001019878-00-000004.txt
10-K	ACSYS	1047113	2000-03-28	https://www.sec.gov/Archives/edgar/data/1047113/0000950144-00-003862.txt
10-K	ACT MANUFACTURING	937971	2000-03-29	https://www.sec.gov/Archives/edgar/data/937971/0000927016-00-001040.txt
10-K	ACTUATE	1062478	2000-03-30	https://www.sec.gov/Archives/edgar/data/1062478/0001012870-00-001739.txt
10-K	ACTV INC	854152	2000-03-20	https://www.sec.gov/Archives/edgar/data/854152/0000912057-00-012448.txt
10-K	ACUSON	717014	2000-03-20	https://www.sec.gov/Archives/edgar/data/717014/0001012870-00-001472.txt
10-K	ACX TECHNOLOGIES	892793	2000-03-29	https://www.sec.gov/Archives/edgar/data/892793/0000892793-00-000002.txt
10-K	ADAC	313798	2000-01-03	https://www.sec.gov/Archives/edgar/data/313798/0000912057-00-000003.txt
10-K	ADAM COM INC	863650	2000-03-30	https://www.sec.gov/Archives/edgar/data/863650/0000912057-00-015314.txt
10-K	ADAMS OUTDOOR ADVERTISING	1011977	2000-03-29	https://www.sec.gov/Archives/edgar/data/1011977/0000950168-00-000784.txt
10-K	ADAMS OUTDOOR ADVERTISING LTD	1011976	2000-03-29	https://www.sec.gov/Archives/edgar/data/1011976/0000950168-00-000784.txt
10-K	ADELPHIA BUSINESS SOLUTIONS	1017648	2000-03-30	https://www.sec.gov/Archives/edgar/data/1017648/0000950132-00-000233.txt
