formtype	companyname	cik	filingdate	url
10-K	1ST SOURCE	34782	1996-03-29	https://www.sec.gov/Archives/edgar/data/34782/0000034782-96-000010.txt
10-K	20TH CENTURY	100331	1996-03-29	https://www.sec.gov/Archives/edgar/data/100331/0000100331-96-000011.txt
10-K	A L PHARMA	730469	1996-03-22	https://www.sec.gov/Archives/edgar/data/730469/0000730469-96-000001.txt
10-K	AAON	824142	1996-03-25	https://www.sec.gov/Archives/edgar/data/824142/0000930661-96-000182.txt
10-K	ABATIX ENVIRONMENTAL	845779	1996-03-13	https://www.sec.gov/Archives/edgar/data/845779/0000845779-96-000002.txt
10-K	ABC	351569	1996-03-28	https://www.sec.gov/Archives/edgar/data/351569/0000931763-96-000098.txt
10-K	ABLE TELCOM HOLDING	826411	1996-02-13	https://www.sec.gov/Archives/edgar/data/826411/0000950144-96-000449.txt
10-K	ABS INDUSTRIES INC	313368	1996-01-30	https://www.sec.gov/Archives/edgar/data/313368/0000902873-96-000014.txt
10-K	ACCEL INTERNATIONAL	1985	1996-03-29	https://www.sec.gov/Archives/edgar/data/1985/0000001985-96-000001.txt
10-K	ACE HARDWARE	2024	1996-03-11	https://www.sec.gov/Archives/edgar/data/2024/0000002024-96-000014.txt
10-K	ACKERLEY COMMUNICATIONS	319120	1996-03-25	https://www.sec.gov/Archives/edgar/data/319120/0000912057-96-005009.txt
10-K	ACMAT	2062	1996-03-29	https://www.sec.gov/Archives/edgar/data/2062/0000914039-96-000081.txt
10-K	ACME UNITED	2098	1996-03-29	https://www.sec.gov/Archives/edgar/data/2098/0000002098-96-000003.txt
10-K	ADC TELECOMMUNICATIONS	61478	1996-01-05	https://www.sec.gov/Archives/edgar/data/61478/0000061478-96-000002.txt
10-K	ADOBE SYSTEMS	796343	1996-02-22	https://www.sec.gov/Archives/edgar/data/796343/0000912057-96-002896.txt
10-K	ADVANCED NMR SYSTEMS	722567	1996-01-16	https://www.sec.gov/Archives/edgar/data/722567/0000950120-96-000008.txt
10-K	ADVANCED TECHNOLOGY LABORATORIES	806086	1996-03-29	https://www.sec.gov/Archives/edgar/data/806086/0000950131-96-001313.txt
10-K	ADVANTA	96638	1996-03-28	https://www.sec.gov/Archives/edgar/data/96638/0000893220-96-000496.txt
10-K	AEP INDUSTRIES	785787	1996-01-29	https://www.sec.gov/Archives/edgar/data/785787/0000912057-96-000946.txt
10-K	AEROVOX	856164	1996-03-29	https://www.sec.gov/Archives/edgar/data/856164/0000927016-96-000083.txt
10-K	AETNA LIFE & CASUALTY	2648	1996-02-26	https://www.sec.gov/Archives/edgar/data/2648/0000002648-96-000013.txt
10-K	AETNA REAL ESTATE ASSOCIATES L	785860	1996-03-29	https://www.sec.gov/Archives/edgar/data/785860/0000928790-96-000048.txt
10-K	AFLAC	4977	1996-03-26	https://www.sec.gov/Archives/edgar/data/4977/0000004977-96-000006.txt
10-K	AHMANSON H F & CO	771667	1996-03-27	https://www.sec.gov/Archives/edgar/data/771667/0000898430-96-000990.txt
10-K	AIR EXPRESS INTERNATIONAL CORP	700674	1996-03-29	https://www.sec.gov/Archives/edgar/data/700674/0000700674-96-000005.txt
10-K	AIR METHODS	816159	1996-03-28	https://www.sec.gov/Archives/edgar/data/816159/0000932384-96-000058.txt
10-K	AIRBORNE FREIGHT CORP	3000	1996-03-27	https://www.sec.gov/Archives/edgar/data/3000/0000003000-96-000005.txt
10-K	AIRCOA HOTEL PARTNERS L	812591	1996-03-29	https://www.sec.gov/Archives/edgar/data/812591/0000927356-96-000134.txt
10-K	AIRTOUCH	904255	1996-03-26	https://www.sec.gov/Archives/edgar/data/904255/0000950149-96-000284.txt
10-K	ALBANY INTERNATIONAL CORP	819793	1996-03-26	https://www.sec.gov/Archives/edgar/data/819793/0000912057-96-005142.txt
10-K	ALEXANDER & BALDWIN	3453	1996-03-27	https://www.sec.gov/Archives/edgar/data/3453/0000003453-96-000007.txt
10-K	ALFA	743532	1996-03-25	https://www.sec.gov/Archives/edgar/data/743532/0000931763-96-000086.txt
10-K	ALLEGHANY CORP	775368	1996-03-22	https://www.sec.gov/Archives/edgar/data/775368/0000950123-96-001240.txt
10-K	ALLEN ORGAN	3753	1996-03-20	https://www.sec.gov/Archives/edgar/data/3753/0000003753-96-000002.txt
10-K	ALLIED BANKSHARES	810995	1996-03-13	https://www.sec.gov/Archives/edgar/data/810995/0000912057-96-004439.txt
10-K	ALLIED CAPITAL	3845	1996-03-29	https://www.sec.gov/Archives/edgar/data/3845/0000950133-96-000299.txt
10-K	ALLIED CAPITAL CORP	850426	1996-03-29	https://www.sec.gov/Archives/edgar/data/850426/0000950133-96-000300.txt
10-K	ALLIED CAPITAL LENDING	3906	1996-03-29	https://www.sec.gov/Archives/edgar/data/3906/0000950133-96-000301.txt
10-K	ALLIED CAPITAL MORTGAGE	949877	1996-03-29	https://www.sec.gov/Archives/edgar/data/949877/0000950133-96-000311.txt
10-K	ALLIED GROUP	774624	1996-03-12	https://www.sec.gov/Archives/edgar/data/774624/0000774624-96-000005.txt
10-K	ALLIED RESEARCH	3952	1996-03-29	https://www.sec.gov/Archives/edgar/data/3952/0000950169-96-000065.txt
10-K	ALLIEDSIGNAL	773840	1996-02-27	https://www.sec.gov/Archives/edgar/data/773840/0000950117-96-000146.txt
10-K	ALLSTATE LIFE INSURANCE CO OF NEW	839759	1996-03-29	https://www.sec.gov/Archives/edgar/data/839759/0000950131-96-001334.txt
10-K	ALLTEL	65873	1996-02-20	https://www.sec.gov/Archives/edgar/data/65873/0000065873-96-000002.txt
10-K	ALPINE LACE BRANDS	791714	1996-03-28	https://www.sec.gov/Archives/edgar/data/791714/0000791714-96-000001.txt
10-K	ALTA GOLD	90350	1996-03-29	https://www.sec.gov/Archives/edgar/data/90350/0000090350-96-000005.txt
10-K	ALTRON	741339	1996-03-21	https://www.sec.gov/Archives/edgar/data/741339/0000950109-96-001682.txt
10-K	AMAX GOLD	814577	1996-03-29	https://www.sec.gov/Archives/edgar/data/814577/0000932384-96-000061.txt
10-K	AMCOL INTERNATIONAL	813621	1996-03-28	https://www.sec.gov/Archives/edgar/data/813621/0000813621-96-000010.txt
10-K	AMCORE FINANCIAL	714756	1996-03-28	https://www.sec.gov/Archives/edgar/data/714756/0000950137-96-000383.txt
10-K	AMDAHL	4427	1996-03-25	https://www.sec.gov/Archives/edgar/data/4427/0000004427-96-000006.txt
10-K	AMERADA HESS	4447	1996-03-27	https://www.sec.gov/Archives/edgar/data/4447/0000950123-96-001358.txt
10-K	AMERICA FIRST FINANCIAL FUND 1987-A LIMITED	818789	1996-03-27	https://www.sec.gov/Archives/edgar/data/818789/0000898430-96-000984.txt
10-K	AMERICA FIRST PREP FUND 2 LIMITED	844327	1996-03-29	https://www.sec.gov/Archives/edgar/data/844327/0000776734-96-000008.txt
10-K	AMERICAN AIRLINES	4515	1996-03-21	https://www.sec.gov/Archives/edgar/data/4515/0000950134-96-000835.txt
10-K	AMERICAN BANCORP OF	701803	1996-03-22	https://www.sec.gov/Archives/edgar/data/701803/0000743530-96-000018.txt
10-K	AMERICAN BILTRITE	4611	1996-03-29	https://www.sec.gov/Archives/edgar/data/4611/0000950109-96-001858.txt
10-K	AMERICAN ELECTRIC POWER COMPANY	4904	1996-03-28	https://www.sec.gov/Archives/edgar/data/4904/0000004904-96-000034.txt
10-K	AMERICAN ENTERTAINMENT PARTNERS II L	808378	1996-03-29	https://www.sec.gov/Archives/edgar/data/808378/0000928790-96-000049.txt
10-K	AMERICAN ENTERTAINMENT PARTNERS	793078	1996-03-29	https://www.sec.gov/Archives/edgar/data/793078/0000928790-96-000050.txt
10-K	AMERICAN EXPRESS	4962	1996-03-29	https://www.sec.gov/Archives/edgar/data/4962/0000004962-96-000013.txt
10-K	AMERICAN EXPRESS CREDIT	4969	1996-03-28	https://www.sec.gov/Archives/edgar/data/4969/0000004969-96-000004.txt
10-K	AMERICAN FILTRONA	5009	1996-03-29	https://www.sec.gov/Archives/edgar/data/5009/0000916641-96-000204.txt
10-K	AMERICAN GENERAL FINANCE	25598	1996-03-20	https://www.sec.gov/Archives/edgar/data/25598/0000025598-96-000002.txt
10-K	AMERICAN GENERAL FINANCE	25600	1996-03-20	https://www.sec.gov/Archives/edgar/data/25600/0000025600-96-000002.txt
10-K	AMERICAN INDEMNITY FINANCIAL	5227	1996-03-29	https://www.sec.gov/Archives/edgar/data/5227/0000950129-96-000500.txt
10-K	AMERICAN INSURED MORTGAGE	724533	1996-03-29	https://www.sec.gov/Archives/edgar/data/724533/0000724533-96-000001.txt
10-K	AMERICAN INSURED MORTGAGE INVESTORS L P SERIES	784014	1996-03-29	https://www.sec.gov/Archives/edgar/data/784014/0000784014-96-000001.txt
10-K	AMERICAN INTERNATIONAL GROUP	5272	1996-03-29	https://www.sec.gov/Archives/edgar/data/5272/0000950123-96-001469.txt
10-K	AMERICAN PRESIDENT COMPANIES	725457	1996-03-14	https://www.sec.gov/Archives/edgar/data/725457/0000725457-96-000002.txt
10-K	AMERICAN RESTAURANT PARTNERS L	817900	1996-03-25	https://www.sec.gov/Archives/edgar/data/817900/0000817900-96-000004.txt
10-K	AMERICAN SKANDIA LIFE ASSURANCE	881453	1996-03-29	https://www.sec.gov/Archives/edgar/data/881453/0000881453-96-000045.txt
10-K	AMERICAN STANDARD	5850	1996-03-29	https://www.sec.gov/Archives/edgar/data/5850/0000950123-96-001445.txt
10-K	AMERIWOOD INDUSTRIES INTERNATIONAL	774487	1996-03-28	https://www.sec.gov/Archives/edgar/data/774487/0000774487-96-000003.txt
10-K	AMETEK	6082	1996-03-22	https://www.sec.gov/Archives/edgar/data/6082/0000950109-96-001704.txt
10-K	AMGEN	318154	1996-03-29	https://www.sec.gov/Archives/edgar/data/318154/0000318154-96-000002.txt
10-K	AMISTAR	741559	1996-03-25	https://www.sec.gov/Archives/edgar/data/741559/0000912057-96-005064.txt
10-K	AMOCO	93397	1996-03-22	https://www.sec.gov/Archives/edgar/data/93397/0000093397-96-000002.txt
10-K	AMP	6164	1996-03-29	https://www.sec.gov/Archives/edgar/data/6164/0000006164-96-000012.txt
10-K	AMPCO PITTSBURGH	6176	1996-03-22	https://www.sec.gov/Archives/edgar/data/6176/0000950132-96-000156.txt
10-K	AMSOUTH	3133	1996-03-29	https://www.sec.gov/Archives/edgar/data/3133/0000931763-96-000099.txt
10-K	AMTECH SYSTEMS	720500	1996-01-16	https://www.sec.gov/Archives/edgar/data/720500/0000950147-96-000016.txt
10-K	AMVESTORS FINANCIAL	5320	1996-03-15	https://www.sec.gov/Archives/edgar/data/5320/0000005320-96-000004.txt
10-K	AMWEST INSURANCE GROUP	780118	1996-03-29	https://www.sec.gov/Archives/edgar/data/780118/0000780118-96-000012.txt
10-K	ANACOMP	6260	1996-01-16	https://www.sec.gov/Archives/edgar/data/6260/0000006260-96-000004.txt
10-K	ANCHOR FINANCIAL	741561	1996-03-27	https://www.sec.gov/Archives/edgar/data/741561/0000950168-96-000511.txt
10-K	ANDAL	70262	1996-01-16	https://www.sec.gov/Archives/edgar/data/70262/0000070262-96-000016.txt
10-K		6474	1996-03-29	https://www.sec.gov/Archives/edgar/data/6474/0000006474-96-000002.txt
