formtype	companyname	cik	filingdate	url
10-K	1626 NEW YORK ASSOCIATES LTD	767411	1999-03-31	https://www.sec.gov/Archives/edgar/data/767411/0000889812-99-001034.txt
10-K	1ST SOURCE	34782	1999-03-08	https://www.sec.gov/Archives/edgar/data/34782/0000950137-99-000147.txt
10-K	20TH CENTURY	100331	1999-03-30	https://www.sec.gov/Archives/edgar/data/100331/0001015402-99-000289.txt
10-K	21ST CENTURY TELECOM GROUP	1056751	1999-03-31	https://www.sec.gov/Archives/edgar/data/1056751/0001056751-99-000002.txt
10-K	21ST CENTURY TELESIS II	947660	1999-01-22	https://www.sec.gov/Archives/edgar/data/947660/0000947660-99-000004.txt
10-K	24/7 MEDIA	1062195	1999-03-31	https://www.sec.gov/Archives/edgar/data/1062195/0000950146-99-000653.txt
10-K	3 D SYSTEMS	910638	1999-03-31	https://www.sec.gov/Archives/edgar/data/910638/0001047469-99-013021.txt
10-K	3CI COMPLETE COMPLIANCE	883787	1999-01-12	https://www.sec.gov/Archives/edgar/data/883787/0000950129-99-000114.txt
10-K	4 KIDS ENTERTAINMENT	58592	1999-03-31	https://www.sec.gov/Archives/edgar/data/58592/0001005477-99-001591.txt
10-K	800 JR CIGAR	1035507	1999-03-31	https://www.sec.gov/Archives/edgar/data/1035507/0001035507-99-000001.txt
10-K	99 CENTS ONLY	1011290	1999-03-26	https://www.sec.gov/Archives/edgar/data/1011290/0001011290-99-000002.txt
10-K	A C MOORE ARTS & CRAFTS	1042809	1999-03-25	https://www.sec.gov/Archives/edgar/data/1042809/0000950116-99-000519.txt
10-K	A M MILLER & ASSOCIATES	1029301	1999-03-31	https://www.sec.gov/Archives/edgar/data/1029301/0001027574-99-000005.txt
10-K	AAON	824142	1999-03-25	https://www.sec.gov/Archives/edgar/data/824142/0001026608-99-000025.txt
10-K	ABACUS DIRECT	1021080	1999-03-31	https://www.sec.gov/Archives/edgar/data/1021080/0000950134-99-002358.txt
10-K	ABATIX ENVIRONMENTAL	845779	1999-03-30	https://www.sec.gov/Archives/edgar/data/845779/0000845779-99-000001.txt
10-K	ABBOTT	1800	1999-03-09	https://www.sec.gov/Archives/edgar/data/1800/0001047469-99-008952.txt
10-K	ABIGAIL ADAMS NATIONAL BANCORP	356809	1999-03-15	https://www.sec.gov/Archives/edgar/data/356809/0000943374-99-000069.txt
10-K	ABLE TELCOM HOLDING	826411	1999-02-24	https://www.sec.gov/Archives/edgar/data/826411/0000950170-99-000280.txt
10-K	ABM INDUSTRIES INC	771497	1999-01-28	https://www.sec.gov/Archives/edgar/data/771497/0001047469-99-002541.txt
10-K	ABN AMRO MORTGAGE	943489	1999-03-30	https://www.sec.gov/Archives/edgar/data/943489/0001013255-99-000091.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083053	1999-03-31	https://www.sec.gov/Archives/edgar/data/1083053/0001013255-99-000115.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083054	1999-03-31	https://www.sec.gov/Archives/edgar/data/1083054/0001013255-99-000116.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083055	1999-03-31	https://www.sec.gov/Archives/edgar/data/1083055/0001013255-99-000117.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083056	1999-03-31	https://www.sec.gov/Archives/edgar/data/1083056/0001013255-99-000128.txt
10-K	ACACIA RESEARCH	934549	1999-03-31	https://www.sec.gov/Archives/edgar/data/934549/0001047469-99-013093.txt
10-K	ACADIA REALTY	899629	1999-03-31	https://www.sec.gov/Archives/edgar/data/899629/0000950116-99-000606.txt
10-K	ACCEL INTERNATIONAL	1985	1999-03-31	https://www.sec.gov/Archives/edgar/data/1985/0000950129-99-001319.txt
10-K	ACCELERATED BUREAU OF COLLECTIONS	1067126	1999-03-31	https://www.sec.gov/Archives/edgar/data/1067126/0001027574-99-000005.txt
10-K	ACCENT COLOR SCIENCES	921898	1999-03-31	https://www.sec.gov/Archives/edgar/data/921898/0000921898-99-000005.txt
10-K	ACCEPTANCE INSURANCE COMPANIES	74783	1999-03-31	https://www.sec.gov/Archives/edgar/data/74783/0000074783-99-000012.txt
10-K	ACCESS PHARMACEUTICALS	318306	1999-03-31	https://www.sec.gov/Archives/edgar/data/318306/0000318306-99-000004.txt
10-K	ACCESS WORLDWIDE COMMUNICATIONS	1048422	1999-03-24	https://www.sec.gov/Archives/edgar/data/1048422/0000950130-99-001636.txt
10-K	ACCOUNT PORTFOLIOS GP	1029715	1999-03-31	https://www.sec.gov/Archives/edgar/data/1029715/0001027574-99-000005.txt
10-K	ACKERLEY GROUP	319120	1999-03-31	https://www.sec.gov/Archives/edgar/data/319120/0001032210-99-000460.txt
10-K	ACMAT	2062	1999-03-31	https://www.sec.gov/Archives/edgar/data/2062/0000914039-99-000152.txt
10-K	ACME INTERMEDIATE HOLDINGS	1049530	1999-03-31	https://www.sec.gov/Archives/edgar/data/1049530/0000892569-99-000895.txt
10-K	ACME METALS INC	883702	1999-03-17	https://www.sec.gov/Archives/edgar/data/883702/0000950137-99-000380.txt
10-K	ACME TELEVISION	1049510	1999-03-31	https://www.sec.gov/Archives/edgar/data/1049510/0000892569-99-000895.txt
10-K	ACME UNITED	2098	1999-03-31	https://www.sec.gov/Archives/edgar/data/2098/0001026608-99-000031.txt
10-K	ACNIELSEN	1019878	1999-03-25	https://www.sec.gov/Archives/edgar/data/1019878/0001019878-99-000004.txt
10-K	ACT MANUFACTURING	937971	1999-03-31	https://www.sec.gov/Archives/edgar/data/937971/0000927016-99-001242.txt
10-K	ACTUATE SOFTWARE	1062478	1999-03-12	https://www.sec.gov/Archives/edgar/data/1062478/0001012870-99-000751.txt
10-K	ACTV INC	854152	1999-03-19	https://www.sec.gov/Archives/edgar/data/854152/0000950146-99-000538.txt
10-K	ACX TECHNOLOGIES	892793	1999-03-24	https://www.sec.gov/Archives/edgar/data/892793/0000892793-99-000004.txt
10-K	ADAC	313798	1999-03-01	https://www.sec.gov/Archives/edgar/data/313798/0001047469-99-007949.txt
10-K	ADAMS GOLF	1059763	1999-03-29	https://www.sec.gov/Archives/edgar/data/1059763/0001047469-99-012113.txt
10-K	ADAMS OUTDOOR ADVERTISING	1011977	1999-03-31	https://www.sec.gov/Archives/edgar/data/1011977/0000931763-99-001031.txt
10-K	ADAMS OUTDOOR ADVERTISING LTD	1011976	1999-03-31	https://www.sec.gov/Archives/edgar/data/1011976/0000931763-99-001031.txt
10-K	ADMINISTAFF INC	1000753	1999-03-11	https://www.sec.gov/Archives/edgar/data/1000753/0000950129-99-000918.txt
10-K	ADOBE SYSTEMS	796343	1999-02-17	https://www.sec.gov/Archives/edgar/data/796343/0001047469-99-006452.txt
10-K	ADTRAN	926282	1999-03-31	https://www.sec.gov/Archives/edgar/data/926282/0000926282-99-000002.txt
10-K	ADVANCED ACCESSORY SYSTEMS	1057836	1999-03-30	https://www.sec.gov/Archives/edgar/data/1057836/0000950124-99-002200.txt
10-K	ADVANCED DIGITAL INFORMATION	770403	1999-01-22	https://www.sec.gov/Archives/edgar/data/770403/0001047469-99-001836.txt
10-K	ADVANCED FIBRE COMMUNICATIONS	898805	1999-03-24	https://www.sec.gov/Archives/edgar/data/898805/0000950149-99-000494.txt
10-K	ADVANCED MACHINE VISION	795445	1999-03-15	https://www.sec.gov/Archives/edgar/data/795445/0000795445-99-000007.txt
10-K	ADVANCED MICRO DEVICES	2488	1999-03-29	https://www.sec.gov/Archives/edgar/data/2488/0001012870-99-000892.txt
10-K	ADVANCED NEUROMODULATION SYSTEMS	351721	1999-03-30	https://www.sec.gov/Archives/edgar/data/351721/0000351721-99-000003.txt
10-K	ADVANCED POLYMER SYSTEMS INC	818033	1999-03-30	https://www.sec.gov/Archives/edgar/data/818033/0000818033-99-000012.txt
10-K	ADVANSTAR	1064243	1999-03-31	https://www.sec.gov/Archives/edgar/data/1064243/0000927016-99-001239.txt
10-K	ADVANTA	96638	1999-03-31	https://www.sec.gov/Archives/edgar/data/96638/0000893220-99-000409.txt
10-K	ADVEN	802206	1999-03-31	https://www.sec.gov/Archives/edgar/data/802206/0000802206-99-000001.txt
10-K	ADVENT SOFTWARE INC	1002225	1999-03-26	https://www.sec.gov/Archives/edgar/data/1002225/0001002225-99-000002.txt
10-K	AEGIS REALTY	1043324	1999-03-31	https://www.sec.gov/Archives/edgar/data/1043324/0000950146-99-000681.txt
10-K	AERO SYSTEMS ENGINEERING	2589	1999-03-12	https://www.sec.gov/Archives/edgar/data/2589/0000897101-99-000214.txt
10-K	AEROQUIP-VICKERS	59198	1999-03-26	https://www.sec.gov/Archives/edgar/data/59198/0000950152-99-002465.txt
10-K	AES	874761	1999-03-30	https://www.sec.gov/Archives/edgar/data/874761/0001005150-99-000212.txt
10-K	AETNA	1013761	1999-02-26	https://www.sec.gov/Archives/edgar/data/1013761/0000950123-99-001684.txt
10-K	AETNA INSURANCE CO OF	925988	1999-03-26	https://www.sec.gov/Archives/edgar/data/925988/0000950146-99-000601.txt
10-K	AETNA LIFE INSURANCE & ANNUITY CO	837010	1999-03-25	https://www.sec.gov/Archives/edgar/data/837010/0000950146-99-000585.txt
10-K	AETNA REAL ESTATE ASSOCIATES L	785860	1999-03-31	https://www.sec.gov/Archives/edgar/data/785860/0001073339-99-000056.txt
10-K	AFC CABLE SYSTEMS	913360	1999-03-31	https://www.sec.gov/Archives/edgar/data/913360/0001047469-99-013085.txt
10-K	AFC ENTERPRISES	1041379	1999-03-29	https://www.sec.gov/Archives/edgar/data/1041379/0000931763-99-000901.txt
10-K	AFFILIATED MANAGERS GROUP	1004434	1999-03-31	https://www.sec.gov/Archives/edgar/data/1004434/0001047469-99-012958.txt
10-K	AFFINITY GROUP HOLDING	1038622	1999-03-29	https://www.sec.gov/Archives/edgar/data/1038622/0001047469-99-011954.txt
10-K	AFFINITY TECHNOLOGY GROUP	1007508	1999-03-31	https://www.sec.gov/Archives/edgar/data/1007508/0001007508-99-000007.txt
10-K	AFG INVESTMENT TRUST	879494	1999-03-31	https://www.sec.gov/Archives/edgar/data/879494/0001047469-99-012767.txt
10-K	AFG INVESTMENT TRUST	879495	1999-03-31	https://www.sec.gov/Archives/edgar/data/879495/0001047469-99-012772.txt
10-K	AFG INVESTMENT TRUST	879496	1999-03-31	https://www.sec.gov/Archives/edgar/data/879496/0001047469-99-012769.txt
