formtype	companyname	cik	filingdate	url
10-K	1 800 CONTACTS	1050122	2007-03-15	https://www.sec.gov/Archives/edgar/data/1050122/0001104659-07-019474.txt
10-K	1ST CENTENNIAL	1097081	2007-03-09	https://www.sec.gov/Archives/edgar/data/1097081/0001193125-07-050937.txt
10-K	1ST INDEPENDENCE FINANCIAL GROUP,	946738	2007-03-28	https://www.sec.gov/Archives/edgar/data/946738/0000946738-07-000012.txt
10-K	1ST SOURCE	34782	2007-02-23	https://www.sec.gov/Archives/edgar/data/34782/0000034782-07-000024.txt
10-K	1st Pacific	1380712	2007-03-23	https://www.sec.gov/Archives/edgar/data/1380712/0001104659-07-022029.txt
10-K	21ST CENTURY HOLDING	1069996	2007-03-16	https://www.sec.gov/Archives/edgar/data/1069996/0001144204-07-013168.txt
10-K	21ST CENTURY INSURANCE	100331	2007-02-27	https://www.sec.gov/Archives/edgar/data/100331/0001140361-07-004436.txt
10-K	24/7 REAL MEDIA	1062195	2007-03-16	https://www.sec.gov/Archives/edgar/data/1062195/0001104659-07-020117.txt
10-K	3M	66740	2007-02-26	https://www.sec.gov/Archives/edgar/data/66740/0001104659-07-013613.txt
10-K	4 KIDS ENTERTAINMENT	58592	2007-03-16	https://www.sec.gov/Archives/edgar/data/58592/0000058592-07-000008.txt
10-K	A.C. Moore Arts & Crafts,	1042809	2007-03-12	https://www.sec.gov/Archives/edgar/data/1042809/0000893220-07-000695.txt
10-K	AAON	824142	2007-03-14	https://www.sec.gov/Archives/edgar/data/824142/0001026608-07-000038.txt
10-K	AARON RENTS	706688	2007-02-28	https://www.sec.gov/Archives/edgar/data/706688/0000950144-07-001717.txt
10-K	ABBOTT	1800	2007-02-23	https://www.sec.gov/Archives/edgar/data/1800/0001104659-07-013496.txt
10-K	ABERCROMBIE & FITCH CO	1018840	2007-03-30	https://www.sec.gov/Archives/edgar/data/1018840/0000950152-07-002885.txt
10-K	ABFC 2006-HE1	1380881	2007-03-30	https://www.sec.gov/Archives/edgar/data/1380881/0001056404-07-001294.txt
10-K	ABFC 2006-OPT1	1368672	2007-03-30	https://www.sec.gov/Archives/edgar/data/1368672/0001056404-07-001250.txt
10-K	ABFC 2006-OPT2	1377124	2007-03-30	https://www.sec.gov/Archives/edgar/data/1377124/0001056404-07-001249.txt
10-K	ABFC 2006-OPT3	1378849	2007-03-30	https://www.sec.gov/Archives/edgar/data/1378849/0001056404-07-001248.txt
10-K	ABIGAIL ADAMS NATIONAL BANCORP	356809	2007-03-30	https://www.sec.gov/Archives/edgar/data/356809/0000950133-07-001471.txt
10-K	ABLEST	46653	2007-03-14	https://www.sec.gov/Archives/edgar/data/46653/0000950144-07-002191.txt
10-K	ABRAXAS PETROLEUM	867665	2007-03-14	https://www.sec.gov/Archives/edgar/data/867665/0000867665-07-000018.txt
10-K	ABX AIR	894081	2007-03-16	https://www.sec.gov/Archives/edgar/data/894081/0001193125-07-057224.txt
