formtype	companyname	cik	filingdate	url
10-K	1 800 CONTACTS	1050122	2001-03-30	https://www.sec.gov/Archives/edgar/data/1050122/0000927356-01-000365.txt
10-K	1ST SOURCE	34782	2001-03-07	https://www.sec.gov/Archives/edgar/data/34782/0000034782-01-000006.txt
10-K	21ST CENTURY INSURANCE	100331	2001-03-29	https://www.sec.gov/Archives/edgar/data/100331/0001015402-01-000850.txt
10-K	3 D SYSTEMS	910638	2001-03-16	https://www.sec.gov/Archives/edgar/data/910638/0000912057-01-007710.txt
10-K	3 DIMENSIONAL PHARMACEUTICALS	914201	2001-03-30	https://www.sec.gov/Archives/edgar/data/914201/0001036050-01-000560.txt
10-K	4-D	729330	2001-01-12	https://www.sec.gov/Archives/edgar/data/729330/0000912057-01-001346.txt
10-K	7 ELEVEN	92344	2001-03-16	https://www.sec.gov/Archives/edgar/data/92344/0000092344-01-000002.txt
10-K	724 SOLUTIONS	1097641	2001-03-29	https://www.sec.gov/Archives/edgar/data/1097641/0000912057-01-008661.txt
10-K	99 CENTS ONLY	1011290	2001-03-23	https://www.sec.gov/Archives/edgar/data/1011290/0001011290-01-000001.txt
10-K	A C MOORE ARTS & CRAFTS	1042809	2001-03-21	https://www.sec.gov/Archives/edgar/data/1042809/0000950116-01-000466.txt
10-K	A R T INTERNATIONAL	810269	2001-03-14	https://www.sec.gov/Archives/edgar/data/810269/0001125282-01-000920.txt
10-K	AAMES MORTGAGE TRUST	1124059	2001-03-02	https://www.sec.gov/Archives/edgar/data/1124059/0001020242-01-000098.txt
10-K	AAMES MORTGAGE TRUST	1130097	2001-03-06	https://www.sec.gov/Archives/edgar/data/1130097/0001020242-01-000100.txt
10-K	AAON	824142	2001-03-27	https://www.sec.gov/Archives/edgar/data/824142/0001026608-01-500003.txt
10-K	AARON RENTS	706688	2001-03-30	https://www.sec.gov/Archives/edgar/data/706688/0000950144-01-004438.txt
10-K	ABATIX	845779	2001-03-23	https://www.sec.gov/Archives/edgar/data/845779/0000845779-01-000001.txt
10-K	ABBOTT	1800	2001-02-15	https://www.sec.gov/Archives/edgar/data/1800/0000912057-01-006039.txt
10-K	ABINGTON BANCORP	812146	2001-03-16	https://www.sec.gov/Archives/edgar/data/812146/0001005477-01-001959.txt
10-K	ABLEST	46653	2001-03-28	https://www.sec.gov/Archives/edgar/data/46653/0000950144-01-004157.txt
10-K	ABN AMRO MORTGAGE	943489	2001-03-19	https://www.sec.gov/Archives/edgar/data/943489/0001013255-01-000100.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083053	2001-03-19	https://www.sec.gov/Archives/edgar/data/1083053/0001013255-01-000101.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083054	2001-03-19	https://www.sec.gov/Archives/edgar/data/1083054/0001013255-01-000102.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083055	2001-03-19	https://www.sec.gov/Archives/edgar/data/1083055/0001013255-01-000103.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083056	2001-03-19	https://www.sec.gov/Archives/edgar/data/1083056/0001013255-01-000104.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083057	2001-03-19	https://www.sec.gov/Archives/edgar/data/1083057/0001013255-01-000105.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083058	2001-03-19	https://www.sec.gov/Archives/edgar/data/1083058/0001013255-01-000106.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1083059	2001-03-19	https://www.sec.gov/Archives/edgar/data/1083059/0001013255-01-000107.txt
10-K	ABN AMRO MORTGAGE CORP SERIES	1089050	2001-03-19	https://www.sec.gov/Archives/edgar/data/1089050/0001013255-01-000108.txt
