formtype	companyname	cik	filingdate	url
10-K	1 LANE TECHNOLOGIES	1422222	2009-01-26	https://www.sec.gov/Archives/edgar/data/1422222/0001144204-09-003409.txt
10-K	155 East Tropicana Finance	1326686	2009-03-31	https://www.sec.gov/Archives/edgar/data/1326686/0001104659-09-021706.txt
10-K	155 East Tropicana,	1326688	2009-03-31	https://www.sec.gov/Archives/edgar/data/1326688/0001104659-09-021706.txt
10-K	1ST CONSTITUTION	1141807	2009-03-27	https://www.sec.gov/Archives/edgar/data/1141807/0001214659-09-000706.txt
10-K	1ST SOURCE	34782	2009-02-20	https://www.sec.gov/Archives/edgar/data/34782/0000034782-09-000008.txt
10-K	1st Century Bancshares,	1420525	2009-03-10	https://www.sec.gov/Archives/edgar/data/1420525/0001104659-09-016174.txt
10-K	1st FRANKLIN FINANCIAL	38723	2009-03-31	https://www.sec.gov/Archives/edgar/data/38723/0000038723-09-000029.txt
10-K	1st Financial Services	1434743	2009-03-27	https://www.sec.gov/Archives/edgar/data/1434743/0001193125-09-066181.txt
10-K	1st Pacific	1380712	2009-03-31	https://www.sec.gov/Archives/edgar/data/1380712/0001104659-09-021663.txt
10-K	1st United Bancorp,	1415277	2009-03-13	https://www.sec.gov/Archives/edgar/data/1415277/0001171200-09-000093.txt
10-K	2020 ChinaCap Acquirco,	1396016	2009-03-30	https://www.sec.gov/Archives/edgar/data/1396016/0001144204-09-016735.txt
10-K	21ST CENTURY HOLDING	1069996	2009-03-16	https://www.sec.gov/Archives/edgar/data/1069996/0001144204-09-014329.txt
10-K	24HOLDINGS	1025315	2009-02-23	https://www.sec.gov/Archives/edgar/data/1025315/0000930413-09-000962.txt
10-K	310 HOLDINGS,	1381105	2009-03-31	https://www.sec.gov/Archives/edgar/data/1381105/0001185185-09-000231.txt
10-K	355	1265848	2009-02-13	https://www.sec.gov/Archives/edgar/data/1265848/0001213900-09-000265.txt
10-K	3D SYSTEMS	910638	2009-03-04	https://www.sec.gov/Archives/edgar/data/910638/0000950144-09-001865.txt
10-K	3M	66740	2009-02-17	https://www.sec.gov/Archives/edgar/data/66740/0001104659-09-009669.txt
10-K	4 KIDS ENTERTAINMENT	58592	2009-03-16	https://www.sec.gov/Archives/edgar/data/58592/0000058592-09-000010.txt
10-K	4301	1353492	2009-03-13	https://www.sec.gov/Archives/edgar/data/1353492/0001213900-09-000511.txt
10-K	A. H. Belo	1413898	2009-03-18	https://www.sec.gov/Archives/edgar/data/1413898/0000950134-09-005615.txt
10-K	A.C. Moore Arts & Crafts,	1042809	2009-03-13	https://www.sec.gov/Archives/edgar/data/1042809/0001362310-09-003777.txt
10-K	A.G. Volney Center,	1367777	2009-03-30	https://www.sec.gov/Archives/edgar/data/1367777/0000939802-09-000039.txt
10-K	AAON	824142	2009-03-11	https://www.sec.gov/Archives/edgar/data/824142/0001026608-09-000028.txt
10-K	AARON RENTS	706688	2009-03-02	https://www.sec.gov/Archives/edgar/data/706688/0001362310-09-002984.txt
10-K	AB&T Financial	1435161	2009-03-30	https://www.sec.gov/Archives/edgar/data/1435161/0001435161-09-000007.txt
10-K	ABAZIAS	1096208	2009-03-31	https://www.sec.gov/Archives/edgar/data/1096208/0001108017-09-000096.txt
10-K	ABBOTT	1800	2009-02-20	https://www.sec.gov/Archives/edgar/data/1800/0001047469-09-001642.txt
10-K	ABERCROMBIE & FITCH CO	1018840	2009-03-27	https://www.sec.gov/Archives/edgar/data/1018840/0000950152-09-003195.txt
10-K	ABINGTON BANCORP,	1397533	2009-03-13	https://www.sec.gov/Archives/edgar/data/1397533/0001362310-09-003772.txt
