formtype	companyname	cik	filingdate	url
10-K	1ST CONSTITUTION	1141807	2013-03-22	https://www.sec.gov/Archives/edgar/data/1141807/0001214659-13-001586.txt
10-K	1ST SOURCE	34782	2013-02-22	https://www.sec.gov/Archives/edgar/data/34782/0001104659-13-013249.txt
10-K	1st Century Bancshares,	1420525	2013-03-07	https://www.sec.gov/Archives/edgar/data/1420525/0001437749-13-002434.txt
10-K	1st Financial Services	1434743	2013-03-05	https://www.sec.gov/Archives/edgar/data/1434743/0001354488-13-000973.txt
10-K	1st United Bancorp,	1415277	2013-02-08	https://www.sec.gov/Archives/edgar/data/1415277/0001171200-13-000035.txt
10-K	22nd Century Group,	1347858	2013-03-18	https://www.sec.gov/Archives/edgar/data/1347858/0001144204-13-015871.txt
10-K	24HOLDINGS	1025315	2013-03-27	https://www.sec.gov/Archives/edgar/data/1025315/0001144204-13-017798.txt
10-K	250 WEST 57TH ST ASSOCIATES	100412	2013-03-28	https://www.sec.gov/Archives/edgar/data/100412/0001193125-13-132246.txt
10-K	360 GLOBAL WINE	1124019	2013-01-04	https://www.sec.gov/Archives/edgar/data/1124019/0001124019-13-000001.txt
10-K	360 GLOBAL WINE	1124019	2013-01-11	https://www.sec.gov/Archives/edgar/data/1124019/0001124019-13-000005.txt
10-K	360 GLOBAL WINE	1124019	2013-02-07	https://www.sec.gov/Archives/edgar/data/1124019/0001124019-13-000012.txt
10-K	360 GLOBAL WINE	1124019	2013-03-29	https://www.sec.gov/Archives/edgar/data/1124019/0001124019-13-000019.txt
10-K	360 GLOBAL WINE	1124019	2013-03-29	https://www.sec.gov/Archives/edgar/data/1124019/0001124019-13-000023.txt
10-K	3D SYSTEMS	910638	2013-02-25	https://www.sec.gov/Archives/edgar/data/910638/0001193125-13-072822.txt
10-K	3DICON	1375195	2013-03-28	https://www.sec.gov/Archives/edgar/data/1375195/0001144204-13-018259.txt
10-K	3M	66740	2013-02-14	https://www.sec.gov/Archives/edgar/data/66740/0001104659-13-010881.txt
10-K	4Licensing	58592	2013-03-28	https://www.sec.gov/Archives/edgar/data/58592/0001140361-13-014416.txt
10-K	5V	1504876	2013-01-15	https://www.sec.gov/Archives/edgar/data/1504876/0001213900-13-000195.txt
10-K	60 EAST 42ND STREET ASSOCIATES	90794	2013-03-28	https://www.sec.gov/Archives/edgar/data/90794/0001193125-13-132622.txt
10-K	A. H. Belo	1413898	2013-03-08	https://www.sec.gov/Archives/edgar/data/1413898/0001413898-13-000013.txt
10-K	AAA CAPITAL ENERGY FUND	1057051	2013-03-27	https://www.sec.gov/Archives/edgar/data/1057051/0001193125-13-129416.txt
10-K	AAA CAPITAL ENERGY FUND L.P.	1227268	2013-03-27	https://www.sec.gov/Archives/edgar/data/1227268/0001193125-13-129429.txt
10-K	AAA Energy Opportunities Fund	1529004	2013-03-28	https://www.sec.gov/Archives/edgar/data/1529004/0001104659-13-025378.txt
10-K	AAON	824142	2013-03-14	https://www.sec.gov/Archives/edgar/data/824142/0001026608-13-000024.txt
10-K	AARON'S	706688	2013-02-22	https://www.sec.gov/Archives/edgar/data/706688/0001193125-13-071592.txt
10-K	AASTROM BIOSCIENCES	887359	2013-03-18	https://www.sec.gov/Archives/edgar/data/887359/0001104659-13-021790.txt
10-K	ABBOTT	1800	2013-02-15	https://www.sec.gov/Archives/edgar/data/1800/0001047469-13-001180.txt
10-K	ABBY	1478535	2013-03-15	https://www.sec.gov/Archives/edgar/data/1478535/0001096350-13-000032.txt
10-K	ABRAXAS PETROLEUM	867665	2013-03-18	https://www.sec.gov/Archives/edgar/data/867665/0000867665-13-000012.txt
10-K	ABSOLUTE LIFE SOLUTIONS,	1421538	2013-01-03	https://www.sec.gov/Archives/edgar/data/1421538/0001144204-13-000227.txt
10-K	ACACIA RESEARCH	934549	2013-02-28	https://www.sec.gov/Archives/edgar/data/934549/0000934549-13-000003.txt
10-K	ACADIA PHARMACEUTICALS	1070494	2013-03-12	https://www.sec.gov/Archives/edgar/data/1070494/0001193125-13-103111.txt
10-K	ACADIA REALTY	899629	2013-02-27	https://www.sec.gov/Archives/edgar/data/899629/0000899629-13-000007.txt
10-K	ACCELERIZE NEW MEDIA	1352952	2013-03-07	https://www.sec.gov/Archives/edgar/data/1352952/0001437749-13-002417.txt
10-K	ACCELRYS,	1002388	2013-03-07	https://www.sec.gov/Archives/edgar/data/1002388/0001002388-13-000006.txt
10-K	ACCESS MIDSTREAM PARTNERS	1483096	2013-02-25	https://www.sec.gov/Archives/edgar/data/1483096/0001193125-13-074304.txt
10-K	ACCESS NATIONAL	1176316	2013-03-18	https://www.sec.gov/Archives/edgar/data/1176316/0001144204-13-015922.txt
10-K	ACCESS PHARMACEUTICALS	318306	2013-03-20	https://www.sec.gov/Archives/edgar/data/318306/0000318306-13-000004.txt
10-K	ACCO BRANDS	712034	2013-02-28	https://www.sec.gov/Archives/edgar/data/712034/0000712034-13-000009.txt
10-K	ACCURIDE	817979	2013-03-18	https://www.sec.gov/Archives/edgar/data/817979/0001140361-13-012998.txt
10-K	ACE	896159	2013-02-28	https://www.sec.gov/Archives/edgar/data/896159/0000896159-13-000003.txt
10-K	ACE MARKETING & PROMOTIONS	1084267	2013-03-15	https://www.sec.gov/Archives/edgar/data/1084267/0001019687-13-000856.txt
10-K	ACELRX PHARMACEUTICALS	1427925	2013-03-12	https://www.sec.gov/Archives/edgar/data/1427925/0001193125-13-103446.txt
10-K	ACHILLION PHARMACEUTICALS	1070336	2013-02-20	https://www.sec.gov/Archives/edgar/data/1070336/0001193125-13-067169.txt
10-K	ACI WORLDWIDE,	935036	2013-03-01	https://www.sec.gov/Archives/edgar/data/935036/0001193125-13-087445.txt
10-K	ACL I	1535013	2013-03-29	https://www.sec.gov/Archives/edgar/data/1535013/0001193125-13-134252.txt
10-K	ACME PACKET	1130258	2013-03-01	https://www.sec.gov/Archives/edgar/data/1130258/0001193125-13-086647.txt
10-K	ACME UNITED	2098	2013-03-08	https://www.sec.gov/Archives/edgar/data/2098/0001026608-13-000014.txt
10-K	ACNB	715579	2013-03-15	https://www.sec.gov/Archives/edgar/data/715579/0001047469-13-002818.txt
10-K	ACORDA THERAPEUTICS	1008848	2013-02-28	https://www.sec.gov/Archives/edgar/data/1008848/0001008848-13-000011.txt
10-K	ACORN ENERGY,	880984	2013-03-18	https://www.sec.gov/Archives/edgar/data/880984/0000880984-13-000004.txt
10-K	ACRO	1228386	2013-03-26	https://www.sec.gov/Archives/edgar/data/1228386/0001213900-13-001313.txt
10-K	ACTIVE NETWORK	1163932	2013-02-27	https://www.sec.gov/Archives/edgar/data/1163932/0001193125-13-077805.txt
10-K	ACTIVE POWER	1044435	2013-03-04	https://www.sec.gov/Archives/edgar/data/1044435/0001140361-13-010418.txt
10-K	ACTIVECARE,	1429896	2013-01-15	https://www.sec.gov/Archives/edgar/data/1429896/0001096906-13-000064.txt
10-K	ACTUATE	1062478	2013-03-08	https://www.sec.gov/Archives/edgar/data/1062478/0001193125-13-098728.txt
10-K	ACURA PHARMACEUTICALS,	786947	2013-03-04	https://www.sec.gov/Archives/edgar/data/786947/0001144204-13-012648.txt
10-K	ADA-ES	1223112	2013-03-18	https://www.sec.gov/Archives/edgar/data/1223112/0001193125-13-112439.txt
10-K	ADAMS RESOURCES & ENERGY,	2178	2013-03-15	https://www.sec.gov/Archives/edgar/data/2178/0000002178-13-000014.txt
10-K	ADMA BIOLOGICS,	1368514	2013-03-06	https://www.sec.gov/Archives/edgar/data/1368514/0001193805-13-000585.txt
10-K	ADOBE SYSTEMS	796343	2013-01-22	https://www.sec.gov/Archives/edgar/data/796343/0000796343-13-000008.txt
10-K	ADTRAN	926282	2013-02-28	https://www.sec.gov/Archives/edgar/data/926282/0001193125-13-082523.txt
10-K	ADVANCE AUTO PARTS	1158449	2013-02-25	https://www.sec.gov/Archives/edgar/data/1158449/0001158449-13-000069.txt
10-K	ADVANCED CELL TECHNOLOGY,	1140098	2013-03-07	https://www.sec.gov/Archives/edgar/data/1140098/0001019687-13-000740.txt
10-K	ADVANCED ENERGY INDUSTRIES	927003	2013-03-06	https://www.sec.gov/Archives/edgar/data/927003/0000927003-13-000007.txt
10-K	ADVANCED ENVIRONMENTAL RECYCLING TECHNOLOGIES	849706	2013-03-15	https://www.sec.gov/Archives/edgar/data/849706/0001171843-13-001018.txt
10-K	ADVANCED MEDICAL ISOTOPE	1449349	2013-03-29	https://www.sec.gov/Archives/edgar/data/1449349/0001199835-13-000143.txt
10-K	ADVANCED MICRO DEVICES	2488	2013-02-21	https://www.sec.gov/Archives/edgar/data/2488/0001193125-13-069422.txt
10-K	ADVANT E	925043	2013-03-28	https://www.sec.gov/Archives/edgar/data/925043/0001193125-13-131245.txt
10-K	ADVENT SOFTWARE INC	1002225	2013-02-28	https://www.sec.gov/Archives/edgar/data/1002225/0001047469-13-001946.txt
10-K	ADVOCAT	919956	2013-03-07	https://www.sec.gov/Archives/edgar/data/919956/0001445305-13-000523.txt
10-K	AEP INDUSTRIES	785787	2013-01-22	https://www.sec.gov/Archives/edgar/data/785787/0001193125-13-019043.txt
10-K	AEP Texas Central Transition Funding II	1366928	2013-03-28	https://www.sec.gov/Archives/edgar/data/1366928/0000004904-13-000042.txt
10-K	AEP Texas Central Transition Funding III	1539816	2013-03-28	https://www.sec.gov/Archives/edgar/data/1539816/0000004904-13-000043.txt
10-K	AEROCENTURY	1036848	2013-03-14	https://www.sec.gov/Archives/edgar/data/1036848/0001036848-13-000005.txt
10-K	AES	874761	2013-02-27	https://www.sec.gov/Archives/edgar/data/874761/0001193125-13-077580.txt
10-K	AETNA INC	1122304	2013-02-19	https://www.sec.gov/Archives/edgar/data/1122304/0001122304-13-000037.txt
10-K	AETRIUM	908598	2013-03-26	https://www.sec.gov/Archives/edgar/data/908598/0001144204-13-017498.txt
10-K	AF OCEAN INVESTMENT MANAGEMENT	1501489	2013-03-29	https://www.sec.gov/Archives/edgar/data/1501489/0001173375-13-000051.txt
10-K	AFC ENTERPRISES	1041379	2013-02-27	https://www.sec.gov/Archives/edgar/data/1041379/0001193125-13-080439.txt
10-K	AFFILIATED MANAGERS GROUP	1004434	2013-02-22	https://www.sec.gov/Archives/edgar/data/1004434/0001047469-13-001515.txt
10-K	AFFINITY MEDIAWORKS	1433821	2013-03-08	https://www.sec.gov/Archives/edgar/data/1433821/0001178924-13-000032.txt
10-K	AFFYMETRIX	913077	2013-03-04	https://www.sec.gov/Archives/edgar/data/913077/0000913077-13-000013.txt
10-K	AFH ACQUISITION V,	1420033	2013-01-29	https://www.sec.gov/Archives/edgar/data/1420033/0001493152-13-000127.txt
10-K	AFH ACQUISITION VI,	1420034	2013-01-29	https://www.sec.gov/Archives/edgar/data/1420034/0001493152-13-000124.txt
10-K	AFH ACQUISITION VII,	1420035	2013-01-29	https://www.sec.gov/Archives/edgar/data/1420035/0001493152-13-000125.txt
10-K	AFH ACQUISITION X,	1419554	2013-01-29	https://www.sec.gov/Archives/edgar/data/1419554/0001493152-13-000132.txt
10-K	AFH ACQUISITION XI,	1419553	2013-01-30	https://www.sec.gov/Archives/edgar/data/1419553/0001493152-13-000138.txt
10-K	AFH ACQUISITION XII,	1419552	2013-01-29	https://www.sec.gov/Archives/edgar/data/1419552/0001493152-13-000136.txt
10-K	AFH Acquisition IX,	1419556	2013-01-29	https://www.sec.gov/Archives/edgar/data/1419556/0001493152-13-000131.txt
10-K	AFH Acquisition VIII,	1419560	2013-01-29	https://www.sec.gov/Archives/edgar/data/1419560/0001493152-13-000128.txt
10-K	AFLAC	4977	2013-02-27	https://www.sec.gov/Archives/edgar/data/4977/0000004977-13-000030.txt
10-K	AFS SenSub	1347185	2013-03-28	https://www.sec.gov/Archives/edgar/data/1347185/0001193125-13-132329.txt
10-K	AFS SenSub	1347185	2013-03-28	https://www.sec.gov/Archives/edgar/data/1347185/0001193125-13-132352.txt
10-K	AFS SenSub	1347185	2013-03-28	https://www.sec.gov/Archives/edgar/data/1347185/0001193125-13-132377.txt
10-K	AFS SenSub	1347185	2013-03-28	https://www.sec.gov/Archives/edgar/data/1347185/0001193125-13-132411.txt
10-K	AFS SenSub	1347185	2013-03-28	https://www.sec.gov/Archives/edgar/data/1347185/0001193125-13-132428.txt
10-K	AFS SenSub	1347185	2013-03-28	https://www.sec.gov/Archives/edgar/data/1347185/0001193125-13-132449.txt
10-K	AFS SenSub	1347185	2013-03-28	https://www.sec.gov/Archives/edgar/data/1347185/0001193125-13-132476.txt
10-K	AFS SenSub	1347185	2013-03-28	https://www.sec.gov/Archives/edgar/data/1347185/0001193125-13-132506.txt
10-K	AFS SenSub	1347185	2013-03-28	https://www.sec.gov/Archives/edgar/data/1347185/0001193125-13-132524.txt
10-K	AFS SenSub	1347185	2013-03-28	https://www.sec.gov/Archives/edgar/data/1347185/0001193125-13-132531.txt
10-K	AFS SenSub	1347185	2013-03-28	https://www.sec.gov/Archives/edgar/data/1347185/0001193125-13-132560.txt
10-K	AFS SenSub	1347185	2013-03-28	https://www.sec.gov/Archives/edgar/data/1347185/0001193125-13-132566.txt
10-K	AFS SenSub	1347185	2013-03-28	https://www.sec.gov/Archives/edgar/data/1347185/0001193125-13-132608.txt
10-K	AFS SenSub	1347185	2013-03-28	https://www.sec.gov/Archives/edgar/data/1347185/0001193125-13-132614.txt
10-K	AFS SenSub	1347185	2013-03-28	https://www.sec.gov/Archives/edgar/data/1347185/0001193125-13-132640.txt
10-K	AFS SenSub	1347185	2013-03-28	https://www.sec.gov/Archives/edgar/data/1347185/0001193125-13-132671.txt
10-K	AG Mortgage Investment Trust,	1514281	2013-03-06	https://www.sec.gov/Archives/edgar/data/1514281/0001144204-13-013218.txt
10-K	AGCO CORP	880266	2013-02-27	https://www.sec.gov/Archives/edgar/data/880266/0000880266-13-000003.txt
10-K	AGENUS	1098972	2013-03-18	https://www.sec.gov/Archives/edgar/data/1098972/0001445305-13-000644.txt
10-K	AGL RESOURCES	1004155	2013-02-06	https://www.sec.gov/Archives/edgar/data/1004155/0001004155-13-000018.txt
10-K	AGREE REALTY	917251	2013-03-11	https://www.sec.gov/Archives/edgar/data/917251/0001144204-13-014094.txt
10-K	AIMCO PROPERTIES	926660	2013-02-25	https://www.sec.gov/Archives/edgar/data/926660/0000922864-13-000013.txt
10-K	AIR INDUSTRIES GROUP,	1009891	2013-03-29	https://www.sec.gov/Archives/edgar/data/1009891/0001193805-13-000723.txt
10-K	AIR LEASE	1487712	2013-02-28	https://www.sec.gov/Archives/edgar/data/1487712/0001047469-13-001939.txt
10-K	AIR METHODS	816159	2013-03-01	https://www.sec.gov/Archives/edgar/data/816159/0001140361-13-009925.txt
10-K	AIRWARE LABS	1500123	2013-01-15	https://www.sec.gov/Archives/edgar/data/1500123/0001554795-13-000029.txt
10-K	AIS FUTURES FUND IV	1023453	2013-03-22	https://www.sec.gov/Archives/edgar/data/1023453/0001144204-13-016864.txt
10-K	AK STEEL HOLDING	918160	2013-02-28	https://www.sec.gov/Archives/edgar/data/918160/0000918160-13-000024.txt
10-K	AKAMAI TECHNOLOGIES	1086222	2013-03-01	https://www.sec.gov/Archives/edgar/data/1086222/0001266432-13-000021.txt
10-K	AKORN	3116	2013-03-01	https://www.sec.gov/Archives/edgar/data/3116/0001157523-13-001183.txt
10-K	ALABAMA GAS	3146	2013-02-28	https://www.sec.gov/Archives/edgar/data/3146/0000277595-13-000012.txt
10-K	ALABAMA POWER	3153	2013-02-28	https://www.sec.gov/Archives/edgar/data/3153/0000092122-13-000014.txt
10-K	ALAMO GROUP	897077	2013-03-11	https://www.sec.gov/Archives/edgar/data/897077/0000897077-13-000009.txt
10-K	ALASKA AIR GROUP,	766421	2013-02-14	https://www.sec.gov/Archives/edgar/data/766421/0000766421-13-000010.txt
10-K	ALASKA COMMUNICATIONS SYSTEMS GROUP	1089511	2013-03-01	https://www.sec.gov/Archives/edgar/data/1089511/0001193125-13-087734.txt
10-K	ALASKA PACIFIC BANCSHARES	1081860	2013-03-22	https://www.sec.gov/Archives/edgar/data/1081860/0000927089-13-000066.txt
10-K	ALBANY INTERNATIONAL CORP	819793	2013-03-01	https://www.sec.gov/Archives/edgar/data/819793/0000891092-13-001806.txt
10-K	ALBANY MOLECULAR RESEARCH	1065087	2013-03-18	https://www.sec.gov/Archives/edgar/data/1065087/0001144204-13-015765.txt
10-K	ALBEMARLE	915913	2013-02-15	https://www.sec.gov/Archives/edgar/data/915913/0001193125-13-062728.txt
10-K	ALCO,	734543	2013-03-28	https://www.sec.gov/Archives/edgar/data/734543/0001137050-13-000130.txt
10-K	ALCOA	4281	2013-02-15	https://www.sec.gov/Archives/edgar/data/4281/0001193125-13-062916.txt
10-K	ALERE	1145460	2013-03-01	https://www.sec.gov/Archives/edgar/data/1145460/0001193125-13-085897.txt
10-K	ALEXANDERS	3499	2013-02-26	https://www.sec.gov/Archives/edgar/data/3499/0000003499-13-000006.txt
10-K	ALEXANDRIA REAL ESTATE EQUITIES	1035443	2013-02-26	https://www.sec.gov/Archives/edgar/data/1035443/0001104659-13-014040.txt
