formtype	companyname	cik	filingdate	url
10-K	1347 Capital	1606163	2015-03-10	https://www.sec.gov/Archives/edgar/data/1606163/0001144204-15-015101.txt
10-K	1347 Property Insurance Holdings,	1591890	2015-03-26	https://www.sec.gov/Archives/edgar/data/1591890/0001387131-15-001018.txt
10-K	1ST CONSTITUTION	1141807	2015-03-26	https://www.sec.gov/Archives/edgar/data/1141807/0001214659-15-002534.txt
10-K	1ST SOURCE	34782	2015-02-20	https://www.sec.gov/Archives/edgar/data/34782/0000034782-15-000008.txt
10-K	1st Century Bancshares,	1420525	2015-03-06	https://www.sec.gov/Archives/edgar/data/1420525/0001437749-15-004232.txt
10-K	1st FRANKLIN FINANCIAL	38723	2015-03-31	https://www.sec.gov/Archives/edgar/data/38723/0001376474-15-000067.txt
10-K	2050 MOTORS,	867028	2015-03-31	https://www.sec.gov/Archives/edgar/data/867028/0001493152-15-001100.txt
10-K	21st Century Oncology Holdings,	1503518	2015-03-27	https://www.sec.gov/Archives/edgar/data/1503518/0001047469-15-002890.txt
10-K	22nd Century Group,	1347858	2015-02-06	https://www.sec.gov/Archives/edgar/data/1347858/0001144204-15-006466.txt
10-K	24HOLDINGS	1025315	2015-03-26	https://www.sec.gov/Archives/edgar/data/1025315/0001144204-15-018679.txt
10-K	2U,	1459417	2015-02-26	https://www.sec.gov/Archives/edgar/data/1459417/0001047469-15-001305.txt
10-K	3D SYSTEMS	910638	2015-02-26	https://www.sec.gov/Archives/edgar/data/910638/0000910638-15-000003.txt
10-K	3DICON	1375195	2015-03-31	https://www.sec.gov/Archives/edgar/data/1375195/0001144204-15-019975.txt
10-K	3DX Industries,	1453122	2015-02-13	https://www.sec.gov/Archives/edgar/data/1453122/0001554795-15-000045.txt
10-K	3M	66740	2015-02-12	https://www.sec.gov/Archives/edgar/data/66740/0001104659-15-009560.txt
10-K	3PEA INTERNATIONAL,	1496443	2015-03-25	https://www.sec.gov/Archives/edgar/data/1496443/0001019687-15-001085.txt
10-K	4Licensing	58592	2015-03-31	https://www.sec.gov/Archives/edgar/data/58592/0001140361-15-013663.txt
10-K	5V	1504876	2015-01-05	https://www.sec.gov/Archives/edgar/data/1504876/0001213900-15-000009.txt
10-K	6D Global Technologies,	1382219	2015-03-30	https://www.sec.gov/Archives/edgar/data/1382219/0001185185-15-000643.txt
10-K	800 Commerce,	1558465	2015-03-31	https://www.sec.gov/Archives/edgar/data/1558465/0001554795-15-000121.txt
10-K	A. H. Belo	1413898	2015-03-06	https://www.sec.gov/Archives/edgar/data/1413898/0001413898-15-000007.txt
10-K	A1 Group,	1432290	2015-03-26	https://www.sec.gov/Archives/edgar/data/1432290/0001019687-15-001094.txt
10-K	A10 Networks,	1580808	2015-03-11	https://www.sec.gov/Archives/edgar/data/1580808/0001580808-15-000010.txt
10-K	AAC Holdings,	1606180	2015-03-11	https://www.sec.gov/Archives/edgar/data/1606180/0001564590-15-001496.txt
10-K	AAON	824142	2015-02-27	https://www.sec.gov/Archives/edgar/data/824142/0000824142-15-000014.txt
10-K	AARON'S	706688	2015-03-02	https://www.sec.gov/Archives/edgar/data/706688/0000706688-15-000089.txt
10-K	ABBOTT	1800	2015-02-27	https://www.sec.gov/Archives/edgar/data/1800/0001047469-15-001377.txt
10-K	ABERCROMBIE & FITCH CO	1018840	2015-03-30	https://www.sec.gov/Archives/edgar/data/1018840/0001018840-15-000020.txt
10-K	ABRAXAS PETROLEUM	867665	2015-03-13	https://www.sec.gov/Archives/edgar/data/867665/0000867665-15-000013.txt
10-K	ABV CONSULTING,	1607450	2015-03-20	https://www.sec.gov/Archives/edgar/data/1607450/0001213900-15-001911.txt
