formtype	companyname	cik	filingdate	url
10-K	'mktg,	886475	2010-01-20	https://www.sec.gov/Archives/edgar/data/886475/0001019056-10-000046.txt
10-K	155 East Tropicana Finance	1326686	2010-03-31	https://www.sec.gov/Archives/edgar/data/1326686/0001104659-10-017649.txt
10-K	155 East Tropicana,	1326688	2010-03-31	https://www.sec.gov/Archives/edgar/data/1326688/0001104659-10-017649.txt
10-K	1ST CONSTITUTION	1141807	2010-03-26	https://www.sec.gov/Archives/edgar/data/1141807/0001214659-10-000827.txt
10-K	1ST SOURCE	34782	2010-02-19	https://www.sec.gov/Archives/edgar/data/34782/0000034782-10-000007.txt
10-K	1st Century Bancshares,	1420525	2010-03-15	https://www.sec.gov/Archives/edgar/data/1420525/0001420525-10-000010.txt
10-K	1st FRANKLIN FINANCIAL	38723	2010-03-30	https://www.sec.gov/Archives/edgar/data/38723/0000038723-10-000026.txt
10-K	1st Financial Services	1434743	2010-03-30	https://www.sec.gov/Archives/edgar/data/1434743/0001193125-10-071556.txt
10-K	1st United Bancorp,	1415277	2010-02-18	https://www.sec.gov/Archives/edgar/data/1415277/0001171200-10-000122.txt
10-K	21ST CENTURY HOLDING	1069996	2010-03-26	https://www.sec.gov/Archives/edgar/data/1069996/0001144204-10-015932.txt
10-K	24HOLDINGS	1025315	2010-03-19	https://www.sec.gov/Archives/edgar/data/1025315/0000930413-10-001484.txt
10-K	3D SYSTEMS	910638	2010-02-24	https://www.sec.gov/Archives/edgar/data/910638/0000950123-10-016364.txt
10-K	3DICON	1375195	2010-03-31	https://www.sec.gov/Archives/edgar/data/1375195/0001144204-10-017666.txt
10-K	3M	66740	2010-02-16	https://www.sec.gov/Archives/edgar/data/66740/0001104659-10-007295.txt
10-K	4 KIDS ENTERTAINMENT	58592	2010-03-16	https://www.sec.gov/Archives/edgar/data/58592/0000058592-10-000006.txt
10-K	4301	1353492	2010-02-04	https://www.sec.gov/Archives/edgar/data/1353492/0001213900-10-000407.txt
10-K	A.C. Moore Arts & Crafts,	1042809	2010-03-18	https://www.sec.gov/Archives/edgar/data/1042809/0000950123-10-025879.txt
10-K	A.G. Volney Center,	1367777	2010-02-26	https://www.sec.gov/Archives/edgar/data/1367777/0000939802-10-000042.txt
10-K	A123 SYSTEMS,	1167178	2010-03-15	https://www.sec.gov/Archives/edgar/data/1167178/0001047469-10-002210.txt
10-K	AAA CAPITAL ENERGY FUND	1057051	2010-03-31	https://www.sec.gov/Archives/edgar/data/1057051/0000950123-10-030618.txt
10-K	AAA CAPITAL ENERGY FUND L.P.	1227268	2010-03-31	https://www.sec.gov/Archives/edgar/data/1227268/0000950123-10-030598.txt
10-K	AAON	824142	2010-03-15	https://www.sec.gov/Archives/edgar/data/824142/0001026608-10-000026.txt
10-K	AARON'S	706688	2010-02-26	https://www.sec.gov/Archives/edgar/data/706688/0000950123-10-018116.txt
10-K	AB&T Financial	1435161	2010-03-30	https://www.sec.gov/Archives/edgar/data/1435161/0001435161-10-000015.txt
10-K	ABBOTT	1800	2010-02-19	https://www.sec.gov/Archives/edgar/data/1800/0001047469-10-001018.txt
10-K	ABERCROMBIE & FITCH CO	1018840	2010-03-29	https://www.sec.gov/Archives/edgar/data/1018840/0000950123-10-029409.txt
10-K	ABINGTON BANCORP,	1397533	2010-03-12	https://www.sec.gov/Archives/edgar/data/1397533/0000950123-10-024036.txt
10-K	ABOVENET	1043533	2010-03-16	https://www.sec.gov/Archives/edgar/data/1043533/0001144204-10-013667.txt
10-K	ABRAXAS PETROLEUM	867665	2010-03-18	https://www.sec.gov/Archives/edgar/data/867665/0000867665-10-000011.txt
10-K	AC Financial Services,	1396710	2010-03-31	https://www.sec.gov/Archives/edgar/data/1396710/0001104659-10-017786.txt
10-K	ACACIA RESEARCH	934549	2010-02-26	https://www.sec.gov/Archives/edgar/data/934549/0001019687-10-000765.txt
10-K	ACADIA PHARMACEUTICALS	1070494	2010-03-09	https://www.sec.gov/Archives/edgar/data/1070494/0001193125-10-051371.txt
10-K	ACADIA REALTY	899629	2010-03-01	https://www.sec.gov/Archives/edgar/data/899629/0000930413-10-001152.txt
10-K	ACCELERIZE NEW MEDIA	1352952	2010-03-26	https://www.sec.gov/Archives/edgar/data/1352952/0001437749-10-000805.txt
10-K	ACCELLENT	1342505	2010-03-31	https://www.sec.gov/Archives/edgar/data/1342505/0001193125-10-073515.txt
10-K	ACCESS NATIONAL	1176316	2010-03-29	https://www.sec.gov/Archives/edgar/data/1176316/0001144204-10-016384.txt
10-K	ACCESS PHARMACEUTICALS	318306	2010-03-23	https://www.sec.gov/Archives/edgar/data/318306/0000318306-10-000018.txt
10-K	ACCO BRANDS	712034	2010-02-26	https://www.sec.gov/Archives/edgar/data/712034/0001193125-10-043137.txt
10-K	ACCURIDE	817979	2010-03-30	https://www.sec.gov/Archives/edgar/data/817979/0001047469-10-002892.txt
10-K	ACE Consulting Management,	1265848	2010-02-11	https://www.sec.gov/Archives/edgar/data/1265848/0001213900-10-000498.txt
10-K	ACE	896159	2010-02-25	https://www.sec.gov/Archives/edgar/data/896159/0001193125-10-040605.txt
10-K	ACE MARKETING & PROMOTIONS	1084267	2010-03-30	https://www.sec.gov/Archives/edgar/data/1084267/0001019687-10-001181.txt
10-K	ACHILLION PHARMACEUTICALS	1070336	2010-03-11	https://www.sec.gov/Archives/edgar/data/1070336/0001193125-10-053956.txt
10-K	ACI WORLDWIDE,	935036	2010-02-26	https://www.sec.gov/Archives/edgar/data/935036/0000950123-10-018148.txt
10-K	ACME PACKET	1130258	2010-03-09	https://www.sec.gov/Archives/edgar/data/1130258/0000950123-10-022645.txt
10-K	ACME UNITED	2098	2010-03-09	https://www.sec.gov/Archives/edgar/data/2098/0001026608-10-000024.txt
10-K	ACNB	715579	2010-03-12	https://www.sec.gov/Archives/edgar/data/715579/0001047469-10-002122.txt
10-K	ACORDA THERAPEUTICS	1008848	2010-02-26	https://www.sec.gov/Archives/edgar/data/1008848/0001047469-10-001554.txt
10-K	ACORN ENERGY,	880984	2010-03-22	https://www.sec.gov/Archives/edgar/data/880984/0001144204-10-014862.txt
10-K	ACRO	1228386	2010-03-31	https://www.sec.gov/Archives/edgar/data/1228386/0001178913-10-000928.txt
10-K	ACROSS AMERICA REAL ESTATE EXCHANGE,	1388132	2010-02-10	https://www.sec.gov/Archives/edgar/data/1388132/0001079974-10-000060.txt
10-K	ACTEL	907687	2010-03-15	https://www.sec.gov/Archives/edgar/data/907687/0000950123-10-024784.txt
10-K	ACTIVE POWER	1044435	2010-03-04	https://www.sec.gov/Archives/edgar/data/1044435/0001193125-10-047972.txt
10-K	ACTUATE	1062478	2010-03-10	https://www.sec.gov/Archives/edgar/data/1062478/0001193125-10-052776.txt
10-K	ACURA PHARMACEUTICALS,	786947	2010-03-02	https://www.sec.gov/Archives/edgar/data/786947/0001144204-10-010996.txt
10-K	ADA-ES	1223112	2010-03-29	https://www.sec.gov/Archives/edgar/data/1223112/0001193125-10-069789.txt
10-K	ADAM	863650	2010-03-18	https://www.sec.gov/Archives/edgar/data/863650/0001193125-10-060497.txt
10-K	ADAMS GOLF	1059763	2010-03-09	https://www.sec.gov/Archives/edgar/data/1059763/0001144204-10-012309.txt
10-K	ADAMS RESOURCES & ENERGY,	2178	2010-03-23	https://www.sec.gov/Archives/edgar/data/2178/0000002178-10-000008.txt
10-K	ADCARE HEALTH SYSTEMS	1004724	2010-03-31	https://www.sec.gov/Archives/edgar/data/1004724/0001004724-10-000008.txt
10-K	ADEN SOLUTIONS	1427639	2010-03-26	https://www.sec.gov/Archives/edgar/data/1427639/0001294606-10-000010.txt
10-K	ADEONA PHARMACEUTICALS,	894158	2010-03-31	https://www.sec.gov/Archives/edgar/data/894158/0000890163-10-000093.txt
10-K	ADHEREX TECHNOLOGIES	1211583	2010-03-31	https://www.sec.gov/Archives/edgar/data/1211583/0001116502-10-000268.txt
10-K	ADINO ENERGY	700815	2010-03-31	https://www.sec.gov/Archives/edgar/data/700815/0001144204-10-017207.txt
10-K	ADMINISTAFF INC	1000753	2010-02-11	https://www.sec.gov/Archives/edgar/data/1000753/0000950123-10-011398.txt
10-K	ADOBE SYSTEMS	796343	2010-01-22	https://www.sec.gov/Archives/edgar/data/796343/0000796343-10-000003.txt
10-K	ADOLOR	1076167	2010-02-26	https://www.sec.gov/Archives/edgar/data/1076167/0001193125-10-042406.txt
10-K	ADTRAN	926282	2010-02-26	https://www.sec.gov/Archives/edgar/data/926282/0000950123-10-017565.txt
10-K	ADVANCE AUTO PARTS	1158449	2010-03-02	https://www.sec.gov/Archives/edgar/data/1158449/0001158449-10-000032.txt
10-K	ADVANCED ANALOGIC TECHNOLOGIES	1104042	2010-02-19	https://www.sec.gov/Archives/edgar/data/1104042/0001193125-10-035154.txt
10-K	ADVANCED BATTERY TECHNOLOGIES,	745651	2010-03-30	https://www.sec.gov/Archives/edgar/data/745651/0001096906-10-000346.txt
10-K	ADVANCED CELL TECHNOLOGY,	1140098	2010-03-16	https://www.sec.gov/Archives/edgar/data/1140098/0001144204-10-013897.txt
10-K	ADVANCED ENERGY INDUSTRIES	927003	2010-02-26	https://www.sec.gov/Archives/edgar/data/927003/0000950123-10-018413.txt
10-K	ADVANCED ENVIRONMENTAL RECYCLING TECHNOLOGIES	849706	2010-03-26	https://www.sec.gov/Archives/edgar/data/849706/0001171843-10-000479.txt
10-K	ADVANCED MEDICAL ISOTOPE	1449349	2010-03-17	https://www.sec.gov/Archives/edgar/data/1449349/0001199835-10-000134.txt
10-K	ADVANCED MICRO DEVICES	2488	2010-02-19	https://www.sec.gov/Archives/edgar/data/2488/0001193125-10-035218.txt
10-K	ADVANT E	925043	2010-03-30	https://www.sec.gov/Archives/edgar/data/925043/0001193125-10-071053.txt
10-K	ADVENT SOFTWARE INC	1002225	2010-03-12	https://www.sec.gov/Archives/edgar/data/1002225/0001047469-10-002133.txt
10-K	ADVENTRX PHARMACEUTICALS	1160308	2010-03-18	https://www.sec.gov/Archives/edgar/data/1160308/0000950123-10-026059.txt
10-K	ADVOCAT	919956	2010-03-09	https://www.sec.gov/Archives/edgar/data/919956/0000950123-10-022554.txt
10-K	AE Biofuels,	738214	2010-03-15	https://www.sec.gov/Archives/edgar/data/738214/0001354488-10-000822.txt
10-K	AEI INCOME & GROWTH FUND 24	1130758	2010-03-30	https://www.sec.gov/Archives/edgar/data/1130758/0000819577-10-000017.txt
10-K	AEI INCOME & GROWTH FUND 25	1185198	2010-03-30	https://www.sec.gov/Archives/edgar/data/1185198/0000819577-10-000018.txt
10-K	AEI INCOME & GROWTH FUND XXI LTD	931755	2010-03-30	https://www.sec.gov/Archives/edgar/data/931755/0000819577-10-000015.txt
10-K	AEI INCOME & GROWTH FUND XXII LTD	1023458	2010-03-30	https://www.sec.gov/Archives/edgar/data/1023458/0000819577-10-000016.txt
10-K	AEI Income & Growth Fund 26	1326321	2010-03-30	https://www.sec.gov/Archives/edgar/data/1326321/0000819577-10-000019.txt
10-K	AEI Income & Growth Fund 27	1403915	2010-03-30	https://www.sec.gov/Archives/edgar/data/1403915/0000819577-10-000020.txt
10-K	AEI NET LEASE INCOME & GROWTH FUND XIX LIMITED	868740	2010-03-30	https://www.sec.gov/Archives/edgar/data/868740/0000819577-10-000013.txt
10-K	AEI NET LEASE INCOME & GROWTH FUND XX LIMITED	894245	2010-03-30	https://www.sec.gov/Archives/edgar/data/894245/0000819577-10-000014.txt
10-K	AEI REAL ESTATE FUND XVII LIMITED	819577	2010-03-30	https://www.sec.gov/Archives/edgar/data/819577/0000819577-10-000011.txt
10-K	AEI REAL ESTATE FUND XVIII LIMITED	840459	2010-03-30	https://www.sec.gov/Archives/edgar/data/840459/0000819577-10-000012.txt
10-K	AEP INDUSTRIES	785787	2010-01-14	https://www.sec.gov/Archives/edgar/data/785787/0001193125-10-006494.txt
10-K	AEP Texas Central Transition Funding II	1366928	2010-03-25	https://www.sec.gov/Archives/edgar/data/1366928/0000004904-10-000044.txt
10-K	AEROCENTURY	1036848	2010-03-15	https://www.sec.gov/Archives/edgar/data/1036848/0001036848-10-000007.txt
10-K	AEROPOSTALE	1168213	2010-03-29	https://www.sec.gov/Archives/edgar/data/1168213/0001168213-10-000023.txt
10-K	AES	874761	2010-02-26	https://www.sec.gov/Archives/edgar/data/874761/0001193125-10-041006.txt
10-K	AETNA INC	1122304	2010-02-26	https://www.sec.gov/Archives/edgar/data/1122304/0001122304-10-000024.txt
10-K	AETRIUM	908598	2010-03-30	https://www.sec.gov/Archives/edgar/data/908598/0000908598-10-000008.txt
10-K	AFC ENTERPRISES	1041379	2010-03-10	https://www.sec.gov/Archives/edgar/data/1041379/0000950123-10-023142.txt
10-K	AFFILIATED MANAGERS GROUP	1004434	2010-03-01	https://www.sec.gov/Archives/edgar/data/1004434/0001047469-10-001655.txt
10-K	AFFINITY GROUP	910560	2010-03-31	https://www.sec.gov/Archives/edgar/data/910560/0001104659-10-017675.txt
10-K	AFFIRMATIVE INSURANCE HOLDINGS	1282543	2010-03-30	https://www.sec.gov/Archives/edgar/data/1282543/0001193125-10-071631.txt
10-K	AFFYMAX	1158223	2010-03-04	https://www.sec.gov/Archives/edgar/data/1158223/0001047469-10-001763.txt
10-K	AFFYMETRIX	913077	2010-03-01	https://www.sec.gov/Archives/edgar/data/913077/0000913077-10-000004.txt
10-K	AFH ACQUISITION IV,	1420031	2010-01-29	https://www.sec.gov/Archives/edgar/data/1420031/0001387131-10-000103.txt
10-K	AFH ACQUISITION V,	1420033	2010-01-29	https://www.sec.gov/Archives/edgar/data/1420033/0001387131-10-000104.txt
10-K	AFH ACQUISITION VI,	1420034	2010-01-29	https://www.sec.gov/Archives/edgar/data/1420034/0001387131-10-000105.txt
