cik	formtype	companyname	filingdate	url
1014111	10-K	IMATION	2012-02-28	https://www.sec.gov/Archives/edgar/data/1014111/0001014111-12-000009.txt
1014111	10-K	IMATION	1999-03-29	https://www.sec.gov/Archives/edgar/data/1014111/0000897101-99-000287.txt
1014111	10-K	IMATION	2011-03-02	https://www.sec.gov/Archives/edgar/data/1014111/0000950123-11-021340.txt
1014111	10-K	IMATION	2009-02-27	https://www.sec.gov/Archives/edgar/data/1014111/0000950137-09-001364.txt
1014111	10-K	IMATION	2003-03-14	https://www.sec.gov/Archives/edgar/data/1014111/0000950134-03-003921.txt
1014111	10-K	IMATION	2001-02-26	https://www.sec.gov/Archives/edgar/data/1014111/0000912057-01-006717.txt
1014111	10-K	IMATION	2015-03-16	https://www.sec.gov/Archives/edgar/data/1014111/0001014111-15-000009.txt
1014111	10-K	IMATION	2007-02-22	https://www.sec.gov/Archives/edgar/data/1014111/0000950137-07-002624.txt
1014111	10-K	IMATION	1998-03-31	https://www.sec.gov/Archives/edgar/data/1014111/0000897101-98-000377.txt
1014111	10-K405	IMATION	2002-03-15	https://www.sec.gov/Archives/edgar/data/1014111/0000912057-02-010121.txt
1014111	10-K	IMATION	1997-03-31	https://www.sec.gov/Archives/edgar/data/1014111/0000897101-97-000372.txt
1014111	10-K	IMATION	2016-03-15	https://www.sec.gov/Archives/edgar/data/1014111/0001014111-16-000044.txt
1014111	10-K405	IMATION	2000-03-23	https://www.sec.gov/Archives/edgar/data/1014111/0000897101-00-000263.txt
1014111	10-K	IMATION	2010-02-26	https://www.sec.gov/Archives/edgar/data/1014111/0000950123-10-018081.txt
1014111	10-K	IMATION	2005-03-10	https://www.sec.gov/Archives/edgar/data/1014111/0000950134-05-004613.txt
1014111	10-K	IMATION	2008-02-29	https://www.sec.gov/Archives/edgar/data/1014111/0000950137-08-003070.txt
1014111	10-K	IMATION	2014-03-13	https://www.sec.gov/Archives/edgar/data/1014111/0001014111-14-000004.txt
1016100	10-K	DIGITAL LIGHTWAVE	2004-04-14	https://www.sec.gov/Archives/edgar/data/1016100/0001015402-04-001506.txt
1016100	10-K	DIGITAL LIGHTWAVE	2006-03-30	https://www.sec.gov/Archives/edgar/data/1016100/0001193125-06-068604.txt
