cik	fyear	filename	formtype	companyname	filingdate	url	GVKEY	conm	cusip	tic	fyr	datadate	sich	at	prcc_f	csho
947549	1996	0000891618-97-001524.txt	10-K	VANTIVE	1997-03-31	https://www.sec.gov/Archives/edgar/data/947549/0000891618-97-001524.txt	61180	VANTIVE CORP	922091103	VNTV.1	12	13514	7372	58.364	31.25	24.14
741339	1996	0000927016-97-000874.txt	10-K405	ALTRON	1997-03-26	https://www.sec.gov/Archives/edgar/data/741339/0000927016-97-000874.txt	1351	ALTRON INC	022092100	ALRN.	12	13514	3672	134.561	21	15.242
216539	1996	0000916641-97-000269.txt	10-K	MEDIA GENERAL	1997-03-27	https://www.sec.gov/Archives/edgar/data/216539/0000916641-97-000269.txt	30950	MEDIA GENERAL INC	58441K100	MEG	12	13514	4833	893.151	29.25	14.23
78666	1996	0000898430-97-001002.txt	10-K405	PINKERTONS	1997-03-14	https://www.sec.gov/Archives/edgar/data/78666/0000898430-97-001002.txt	21235	PINKERTONS INC	723429106	PKT.1	12	13514	7381	315.281	25.12497711	8.362
314808	1996	0000314808-97-000002.txt	10-K	ENSCO INTERNATIONAL	1997-02-21	https://www.sec.gov/Archives/edgar/data/314808/0000314808-97-000002.txt	2270	ENSCO PLC	G3157S106	ESV	12	13514	1381	1315.42	48.5	70.875
34115	1996	0000034115-96-000002.txt	10-K	CLAIRES STORES	1996-04-11	https://www.sec.gov/Archives/edgar/data/34115/0000034115-96-000002.txt	3087	CLAIRES STORES INC	179584107	CLE	1	13545	5600	242.851	14.25	48.03
39648	1996	0000912057-96-021427.txt	10-K405	G&K SERVICES	1996-09-27	https://www.sec.gov/Archives/edgar/data/39648/0000912057-96-021427.txt	4936	G&K SERVICES INC  -CL A	361268105	GK	6	13330	7200	281.989	28.5	20.437
63528	1996	0000914760-97-000066.txt	10-K405	MAYNARD OIL	1997-03-31	https://www.sec.gov/Archives/edgar/data/63528/0000914760-97-000066.txt	7137	MAYNARD OIL CO	578444101	MOIL	12	13514	1311	81.257	18.75	4.889
858764	1996	0000912057-96-029856.txt	10-K405	U S LONG DISTANCE	1996-12-20	https://www.sec.gov/Archives/edgar/data/858764/0000912057-96-029856.txt	22776	USLD COMMUNICATIONS CORP	902982107	USLD	9	13422	4813	99.244	8.93699932	15.052
734394	1996	0000950005-96-000986.txt	10-K	BOOLE & BABBAGE	1996-12-26	https://www.sec.gov/Archives/edgar/data/734394/0000950005-96-000986.txt	2308	BOOLE & BABBAGE INC	098586100	BOOL	9	13422	7372	207.064	24.99998188	11.22
913888	1996	0000913888-96-000004.txt	10-K	INTERNATIONAL POST	1996-10-16	https://www.sec.gov/Archives/edgar/data/913888/0000913888-96-000004.txt	29689	VIDEO SERVICES CORP	92656U107	VS	7	13361	7819	67.861	3.875	6.227
318025	1996	0000944209-96-000108.txt	10-K	UNITED STATES FILTER	1996-06-27	https://www.sec.gov/Archives/edgar/data/318025/0000944209-96-000108.txt	8015	U S FILTER CORP	911843209	USF	3	13604	3580	2228.328	30.875	74.53
109265	1996	0000109265-97-000005.txt	10-K	ZENITH ELECTRONICS	1997-03-31	https://www.sec.gov/Archives/edgar/data/109265/0000109265-97-000005.txt	11678	ZENITH ELECTRONICS CORP	989349105	ZE	12	13514	3651	765.3	10.75	66.459
879136	1996	0000879136-97-000006.txt	10-K	SHIVA	1997-03-28	https://www.sec.gov/Archives/edgar/data/879136/0000879136-97-000006.txt	31021	SHIVA CORP	824851109	SHVA	12	13514	3576	198.05	34.875	28.891
12927	1996	0000012927-97-000020.txt	10-K	BOEING	1997-03-10	https://www.sec.gov/Archives/edgar/data/12927/0000012927-97-000020.txt	2285	BOEING CO	097023105	BA	12	13514	3721	27254	106.5	347.363
793952	1996	0000912057-97-011157.txt	10-K	HARLEY DAVIDSON	1997-03-31	https://www.sec.gov/Archives/edgar/data/793952/0000912057-97-011157.txt	12389	HARLEY-DAVIDSON INC	412822108	HOG	12	13514	3751	1319.985	47	75.669
873287	1996	0000950153-97-000202.txt	10-K	WAVEPHORE	1997-03-10	https://www.sec.gov/Archives/edgar/data/873287/0000950153-97-000202.txt	30849	WAVO CORP	944027101	WAVO	12	13514	7370	41.562	6.875	16.217
869487	1996	0000869487-96-000010.txt	10-K	TANDY BRANDS ACCESSORIES	1996-09-20	https://www.sec.gov/Archives/edgar/data/869487/0000869487-96-000010.txt	23577	TANDY BRANDS ACCESSORIES INC	875378101	TBACQ	6	13330	2300	58.411	8	5.382
1000230	1996	0001005150-97-000048.txt	10-K	OPTICAL CABLE	1997-01-29	https://www.sec.gov/Archives/edgar/data/1000230/0001005150-97-000048.txt	62553	OPTICAL CABLE CORP	683827208	OCC	10	13453	3357	31.127	12.5	38.675
929548	1996	0000897101-97-000281.txt	10-K	ORPHAN MEDICAL	1997-03-17	https://www.sec.gov/Archives/edgar/data/929548/0000897101-97-000281.txt	30775	ORPHAN MEDICAL INC	687303107	ORPH	12	13514	2834	17.151	9.75	6.056
836106	1996	0000912057-97-009541.txt	10-K	NOVELLUS SYSTEMS	1997-03-20	https://www.sec.gov/Archives/edgar/data/836106/0000912057-97-009541.txt	14623	NOVELLUS SYSTEMS INC	670008101	NVLS.1	12	13514	3559	459.787	54.1869812	16.255
884319	1996	0000884319-97-000002.txt	10-K	ERO	1997-03-31	https://www.sec.gov/Archives/edgar/data/884319/0000884319-97-000002.txt	25134	ERO INC	268911104	EROI	12	13514	3944	159.994	8.75	10.253
320186	1996	0000890566-97-000540.txt	10-K	DI INDUSTRIES	1997-03-27	https://www.sec.gov/Archives/edgar/data/320186/0000890566-97-000540.txt	20134	GREY WOLF INC	397888108	GW	12	13514	1381	117.819	2.813	125.043
